Team,AvgScored,AvgAgainst,HomeFactor,Matches
AVS,0.5555555555555556,2.4444444444444446,0.85,9
Alverca,1.222222222222222,1.7777777777777777,0.85,9
Arouca,1.1111111111111112,2.666666666666667,1.15,9
Benfica,2.0,0.4444444444444444,1.15,9
Casa Pia,0.8888888888888888,1.8888888888888888,0.85,9
Estoril,1.2222222222222223,1.5555555555555556,0.85,9
Estrela,0.7777777777777777,1.1111111111111112,1.15,9
Famalicao,1.1111111111111112,0.4444444444444444,1.15,9
Gil Vicente,1.5555555555555556,0.4444444444444444,0.9375,9
Guimaraes,0.9999999999999999,1.5555555555555556,1.15,9
Moreirense,1.4444444444444444,1.4444444444444444,1.15,9
Nacional,1.1111111111111112,1.4444444444444444,1.15,9
Porto,2.3333333333333335,0.22222222222222224,0.85,9
Rio Ave,1.4444444444444444,1.5555555555555556,1.0714285714285714,9
Santa Clara,0.8888888888888888,1.1111111111111112,1.15,9
Sp Braga,1.7777777777777777,0.8888888888888888,1.0285714285714287,9
Sp Lisbon,2.5555555555555554,0.5555555555555556,1.1458333333333335,9
Tondela,0.4444444444444444,1.8888888888888888,1.15,9
