Team,AvgScored,AvgAgainst,HomeFactor,Matches
Arouca,0.8823529411764706,1.5882352941176472,1.0,34
Belenenses,0.6764705882352942,1.6176470588235294,1.15,34
Benfica,2.2941176470588234,0.8823529411764706,0.8571428571428571,34
Boavista,1.1470588235294117,1.5294117647058822,1.0526315789473684,34
Estoril,1.0588235294117647,1.2647058823529411,1.15,34
Famalicao,1.323529411764706,1.5,0.9565217391304348,34
Gil Vicente,1.3823529411764706,1.2352941176470589,1.1363636363636365,34
Guimaraes,1.4705882352941178,1.2058823529411766,1.15,34
Maritimo,1.1470588235294117,1.2941176470588234,0.95,34
Moreirense,0.9705882352941178,1.5,1.15,34
Pacos Ferreira,0.8529411764705883,1.2941176470588236,1.15,34
Portimonense,0.9117647058823529,1.323529411764706,0.9375,34
Porto,2.5294117647058822,0.6470588235294118,1.15,34
Santa Clara,1.1176470588235294,1.5882352941176472,1.15,34
Sp Braga,1.5294117647058822,0.9117647058823529,1.0799999999999998,34
Sp Lisbon,2.1470588235294117,0.6764705882352942,0.8717948717948718,34
Tondela,1.2058823529411766,1.9705882352941178,1.15,34
Vizela,1.0882352941176472,1.7058823529411764,0.85,34
