,Date,HomeTeam,AwayTeam,PredHomeGoals,PredAwayGoals,RealHomeGoals,RealAwayGoals,ErrorHomeGoals,ErrorAwayGoals
0,05/08/2022,Benfica,Arouca,0,0,4,0,4,0
1,06/08/2022,Rio Ave,Vizela,2,1,0,1,-2,0
2,06/08/2022,Estoril,Famalicao,1,3,2,0,1,-3
3,06/08/2022,Porto,Maritimo,2,0,5,1,3,1
4,07/08/2022,Santa Clara,Casa Pia,1,1,0,0,-1,-1
5,07/08/2022,Sp Braga,Sp Lisbon,1,3,3,3,2,0
6,07/08/2022,Chaves,Guimaraes,0,2,0,1,0,-1
7,07/08/2022,Portimonense,Boavista,1,1,0,1,-1,0
8,08/08/2022,Gil Vicente,Pacos Ferreira,2,1,1,0,-1,-1
9,12/08/2022,Famalicao,Sp Braga,1,2,0,3,-1,1
10,13/08/2022,Casa Pia,Benfica,0,2,0,1,0,-1
11,13/08/2022,Sp Lisbon,Rio Ave,2,1,3,0,1,-1
12,14/08/2022,Boavista,Santa Clara,1,0,2,1,1,1
13,14/08/2022,Vizela,Porto,0,3,0,1,0,-2
14,14/08/2022,Guimaraes,Estoril,1,0,1,0,0,0
15,15/08/2022,Maritimo,Chaves,0,1,1,2,1,1
16,15/08/2022,Arouca,Gil Vicente,0,1,1,0,1,-1
17,15/08/2022,Pacos Ferreira,Portimonense,0,1,0,3,0,2
18,19/08/2022,Estoril,Rio Ave,1,0,2,2,1,2
19,20/08/2022,Santa Clara,Arouca,1,0,1,2,0,2
20,20/08/2022,Chaves,Vizela,1,1,1,1,0,0
21,20/08/2022,Porto,Sp Lisbon,2,1,3,0,1,-1
22,21/08/2022,Casa Pia,Boavista,1,1,2,0,1,-1
23,21/08/2022,Sp Braga,Maritimo,3,0,5,0,2,0
24,21/08/2022,Portimonense,Guimaraes,0,1,2,1,2,0
25,22/08/2022,Gil Vicente,Famalicao,1,2,0,0,-1,-2
26,26/08/2022,Pacos Ferreira,Estoril,0,1,0,3,0,2
