,Team,LambdaAtt,LambdaDef,HomeFactor
0,Benfica,1.950217935944059,0.9510814945896735,1.15
1,Boavista,1.0299195195708604,1.4299120993134178,1.15
2,Famalicao,0.9858011368585917,0.9908460816254478,1.15
3,Gil Vicente,0.7883334455590123,1.0333492852003372,1.15
4,Guimaraes,1.5514195897363037,1.4233925773397471,1.15
5,Portimonense,1.6135662561508053,1.580698244973381,0.8571428571428571
6,Porto,1.5549665052037884,0.6011903258520566,1.15
7,Sp Braga,1.5952055842376927,1.3897658011696556,0.8684210526315789
8,Sp Lisbon,1.8406061233327653,0.42767001280116396,1.15
9,Vizela,1.742527951038626,1.3718641824955737,1.15
10,Estoril,1.0723336816326532,1.3175568523123649,1.0416666666666667
11,Arouca,0.7483282026405971,2.1584786041062762,0.9285714285714286
12,Casa Pia,1.6155515536503107,1.4477507780303311,0.85
13,Rio Ave,1.2404884567939165,1.0651686442872756,1.15
14,Chaves,0.5031352436998647,1.843146472197967,1.15
15,Estrela,0.7056401109358409,1.3598955270645463,1.15
16,Farense,1.163482651334156,1.8587681040483803,1.0909090909090908
17,Moreirense,1.1146402600282137,0.6876707367064974,1.15
