,Date,HomeTeam,AwayTeam,PredHomeGoals,PredAwayGoals,RealHomeGoals,RealAwayGoals,ErrorHomeGoals,ErrorAwayGoals
93,11/11/2023,Vizela,Famalicao,1,1,0,0,-1,-1
94,11/11/2023,Guimaraes,Porto,1,0,1,2,0,2
95,12/11/2023,Boavista,Farense,1,2,1,3,0,1
96,12/11/2023,Gil Vicente,Rio Ave,2,3,1,1,-1,-2
97,12/11/2023,Arouca,Sp Braga,0,3,0,1,0,-2
98,12/11/2023,Benfica,Sp Lisbon,1,0,2,1,1,1
99,01/12/2023,Chaves,Vizela,0,0,2,1,2,1
100,02/12/2023,Farense,Guimaraes,2,1,1,2,-1,1
101,02/12/2023,Rio Ave,Estrela,1,1,1,1,0,0
102,02/12/2023,Famalicao,Porto,0,0,0,3,0,3
103,02/12/2023,Casa Pia,Portimonense,0,1,1,0,1,-1
104,03/12/2023,Sp Braga,Estoril,2,1,3,1,1,0
105,03/12/2023,Moreirense,Benfica,0,0,0,0,0,0
106,03/12/2023,Boavista,Arouca,0,0,0,4,0,4
107,04/12/2023,Sp Lisbon,Gil Vicente,3,1,3,1,0,0
108,08/12/2023,Vizela,Sp Braga,0,2,1,3,1,1
109,08/12/2023,Benfica,Farense,1,0,1,1,0,1
110,09/12/2023,Portimonense,Famalicao,1,1,1,1,0,0
111,09/12/2023,Guimaraes,Sp Lisbon,2,1,3,2,1,1
112,09/12/2023,Porto,Casa Pia,2,0,3,1,1,1
113,10/12/2023,Estrela,Boavista,2,0,3,1,1,1
114,10/12/2023,Arouca,Rio Ave,1,0,2,2,1,2
115,10/12/2023,Estoril,Chaves,3,1,4,0,1,-1
116,11/12/2023,Gil Vicente,Moreirense,0,1,1,1,1,0
117,15/12/2023,Farense,Estrela,2,1,0,0,-2,-1
118,16/12/2023,Rio Ave,Vizela,2,1,1,1,-1,0
119,16/12/2023,Arouca,Gil Vicente,2,1,3,0,1,-1
120,16/12/2023,Boavista,Guimaraes,1,4,1,1,0,-3
121,17/12/2023,Chaves,Casa Pia,1,1,1,3,0,2
122,17/12/2023,Moreirense,Portimonense,1,0,5,2,4,2
123,17/12/2023,Famalicao,Estoril,0,2,1,1,1,-1
124,17/12/2023,Sp Braga,Benfica,1,1,0,1,-1,0
125,18/12/2023,Sp Lisbon,Porto,1,2,2,0,1,-2
126,23/12/2023,Guimaraes,Rio Ave,2,1,1,0,-1,-1
127,23/12/2023,Vizela,Moreirense,0,2,0,0,0,-2
128,28/12/2023,Estrela,Arouca,0,1,1,4,1,3
129,29/12/2023,Benfica,Famalicao,1,0,3,0,2,0
130,29/12/2023,Porto,Chaves,3,0,1,0,-2,0
131,30/12/2023,Estoril,Farense,1,0,4,0,3,0
132,30/12/2023,Gil Vicente,Boavista,1,1,1,0,0,-1
133,30/12/2023,Casa Pia,Sp Braga,1,2,1,3,0,1
134,30/12/2023,Portimonense,Sp Lisbon,1,4,1,2,0,-2
135,05/01/2024,Sp Lisbon,Estoril,1,1,5,1,4,0
136,05/01/2024,Boavista,Porto,0,1,1,1,1,0
137,06/01/2024,Estrela,Vizela,0,0,1,1,1,1
138,06/01/2024,Farense,Gil Vicente,1,1,1,0,0,-1
139,06/01/2024,Arouca,Benfica,0,1,0,3,0,2
140,06/01/2024,Sp Braga,Guimaraes,1,1,1,1,0,0
141,07/01/2024,Rio Ave,Portimonense,1,0,2,0,1,0
142,07/01/2024,Famalicao,Chaves,1,0,2,2,1,2
143,08/01/2024,Moreirense,Casa Pia,2,0,1,4,-1,4
144,12/01/2024,Portimonense,Farense,1,1,1,0,0,-1
145,13/01/2024,Casa Pia,Famalicao,3,1,0,2,-3,1
146,13/01/2024,Chaves,Sp Lisbon,1,4,0,3,-1,-1
147,13/01/2024,Estoril,Moreirense,3,1,1,3,-2,2
148,14/01/2024,Gil Vicente,Estrela,0,1,1,1,1,0
149,14/01/2024,Benfica,Rio Ave,1,0,4,1,3,1
150,14/01/2024,Vizela,Boavista,1,0,1,4,0,4
151,14/01/2024,Porto,Sp Braga,1,1,2,0,1,-1
152,15/01/2024,Guimaraes,Arouca,1,1,2,1,1,0
153,18/01/2024,Famalicao,Sp Braga,1,1,1,2,0,1
154,18/01/2024,Vizela,Sp Lisbon,0,3,2,5,2,2
155,19/01/2024,Benfica,Boavista,3,0,2,0,-1,0
156,20/01/2024,Estoril,Arouca,2,3,1,2,-1,-1
157,20/01/2024,Casa Pia,Farense,1,0,1,3,0,3
158,20/01/2024,Porto,Moreirense,1,0,5,0,4,0
159,21/01/2024,Portimonense,Gil Vicente,1,1,0,2,-1,1
160,21/01/2024,Chaves,Rio Ave,1,2,0,0,-1,-2
161,21/01/2024,Guimaraes,Estrela,2,0,3,0,1,0
162,28/01/2024,Boavista,Portimonense,2,0,1,4,-1,4
163,28/01/2024,Moreirense,Famalicao,1,2,1,0,0,-2
164,28/01/2024,Farense,Porto,0,2,1,3,1,1
165,28/01/2024,Arouca,Vizela,4,1,5,0,1,-1
166,28/01/2024,Gil Vicente,Guimaraes,0,1,1,0,1,-1
167,29/01/2024,Estrela,Benfica,0,3,1,4,1,1
168,29/01/2024,Sp Lisbon,Casa Pia,6,1,8,0,2,-1
169,31/01/2024,Rio Ave,Estoril,1,1,1,1,0,0
170,31/01/2024,Sp Braga,Chaves,2,0,1,1,-1,1
171,03/02/2024,Portimonense,Arouca,1,2,1,2,0,0
172,03/02/2024,Porto,Rio Ave,3,0,0,0,-3,0
173,04/02/2024,Chaves,Farense,1,1,1,1,0,0
