,Date,HomeTeam,AwayTeam,PredHomeGoals,PredAwayGoals,RealHomeGoals,RealAwayGoals,ErrorHomeGoals,ErrorAwayGoals
0,18/09/2020,Famalicao,Benfica,0,1,1,5,1,4
1,18/09/2020,Guimaraes,Belenenses,1,0,0,1,-1,1
2,19/09/2020,Nacional,Boavista,1,0,3,3,2,3
3,19/09/2020,Porto,Sp Braga,2,0,3,1,1,1
4,20/09/2020,Santa Clara,Maritimo,0,0,2,0,2,0
5,20/09/2020,Moreirense,Farense,1,0,2,0,1,0
6,20/09/2020,Tondela,Rio Ave,0,0,1,1,1,1
7,21/09/2020,Portimonense,Pacos Ferreira,1,1,1,1,0,0
8,25/09/2020,Sp Braga,Santa Clara,1,1,0,1,-1,0
9,26/09/2020,Maritimo,Tondela,1,1,2,1,1,0
10,26/09/2020,Benfica,Moreirense,2,0,2,0,0,0
11,26/09/2020,Boavista,Porto,0,1,0,5,0,4
12,27/09/2020,Farense,Nacional,1,1,0,1,-1,0
13,27/09/2020,Gil Vicente,Portimonense,1,0,1,0,0,0
14,27/09/2020,Pacos Ferreira,Sp Lisbon,0,1,0,2,0,1
15,27/09/2020,Rio Ave,Guimaraes,1,0,0,0,-1,0
16,28/09/2020,Belenenses,Famalicao,1,1,1,2,0,1
17,02/10/2020,Moreirense,Boavista,2,0,1,1,-1,1
18,02/10/2020,Guimaraes,Pacos Ferreira,1,0,1,0,0,0
19,03/10/2020,Santa Clara,Gil Vicente,1,0,0,0,-1,0
20,03/10/2020,Porto,Maritimo,5,0,2,3,-3,3
21,03/10/2020,Tondela,Sp Braga,0,1,0,4,0,3
22,04/10/2020,Nacional,Belenenses,1,1,0,0,-1,-1
23,04/10/2020,Benfica,Farense,3,0,3,2,0,2
24,04/10/2020,Famalicao,Rio Ave,1,1,1,1,0,0
25,04/10/2020,Portimonense,Sp Lisbon,0,1,0,2,0,1
26,17/10/2020,Gil Vicente,Tondela,2,0,1,1,-1,1
27,17/10/2020,Maritimo,Portimonense,4,0,1,2,-3,2
28,17/10/2020,Sp Braga,Nacional,2,0,2,1,0,1
29,17/10/2020,Sp Lisbon,Porto,1,0,2,2,1,2
30,18/10/2020,Belenenses,Moreirense,0,0,0,0,0,0
31,18/10/2020,Pacos Ferreira,Santa Clara,0,1,2,1,2,0
32,18/10/2020,Farense,Famalicao,2,1,3,3,1,2
33,18/10/2020,Rio Ave,Benfica,1,1,0,3,-1,2
34,19/10/2020,Boavista,Guimaraes,0,1,0,1,0,0
35,23/10/2020,Tondela,Portimonense,0,0,1,0,1,0
36,24/10/2020,Nacional,Pacos Ferreira,1,1,1,1,0,0
37,24/10/2020,Santa Clara,Sp Lisbon,0,1,1,2,1,1
38,24/10/2020,Porto,Gil Vicente,2,0,1,0,-1,0
39,25/10/2020,Farense,Rio Ave,1,0,0,1,-1,1
40,25/10/2020,Moreirense,Maritimo,1,0,2,1,1,1
41,25/10/2020,Famalicao,Boavista,3,1,2,2,-1,1
42,25/10/2020,Guimaraes,Sp Braga,1,0,0,1,-1,1
43,26/10/2020,Benfica,Belenenses,2,0,2,0,0,0
44,28/10/2020,Sp Lisbon,Gil Vicente,1,0,3,1,2,1
45,30/10/2020,Pacos Ferreira,Porto,0,1,3,2,3,1
46,31/10/2020,Belenenses,Farense,0,0,1,1,1,1
47,31/10/2020,Rio Ave,Moreirense,1,0,2,0,1,0
48,31/10/2020,Maritimo,Nacional,4,1,0,0,-4,-1
49,01/11/2020,Portimonense,Santa Clara,1,1,1,2,0,1
50,01/11/2020,Gil Vicente,Guimaraes,1,0,1,2,0,2
51,01/11/2020,Sp Lisbon,Tondela,3,1,4,0,1,-1
52,02/11/2020,Sp Braga,Famalicao,4,1,1,0,-3,-1
53,02/11/2020,Boavista,Benfica,0,3,3,0,3,-3
54,06/11/2020,Belenenses,Rio Ave,0,0,0,0,0,0
55,07/11/2020,Tondela,Santa Clara,0,2,2,0,2,-2
56,07/11/2020,Famalicao,Maritimo,1,0,2,1,1,1
57,07/11/2020,Guimaraes,Sp Lisbon,0,1,0,4,0,3
58,08/11/2020,Farense,Boavista,1,2,3,1,2,-1
59,08/11/2020,Nacional,Gil Vicente,2,0,2,1,0,1
60,08/11/2020,Porto,Portimonense,4,0,3,1,-1,1
61,08/11/2020,Benfica,Sp Braga,1,1,2,3,1,2
62,27/11/2020,Pacos Ferreira,Famalicao,1,2,2,0,1,-2
63,27/11/2020,Tondela,Guimaraes,1,1,0,2,-1,1
64,28/11/2020,Santa Clara,Porto,1,1,0,1,-1,0
65,28/11/2020,Sp Lisbon,Moreirense,4,0,2,1,-2,1
66,29/11/2020,Gil Vicente,Rio Ave,1,1,2,0,1,-1
67,29/11/2020,Portimonense,Nacional,2,1,1,0,-1,-1
68,29/11/2020,Boavista,Belenenses,1,0,0,0,-1,0
69,29/11/2020,Sp Braga,Farense,2,0,1,0,-1,0
70,30/11/2020,Maritimo,Benfica,3,2,1,2,-2,0
71,01/12/2020,Moreirense,Pacos Ferreira,1,2,0,1,-1,-1
72,05/12/2020,Guimaraes,Portimonense,1,0,1,0,0,0
73,05/12/2020,Moreirense,Gil Vicente,1,0,1,1,0,1
74,05/12/2020,Famalicao,Sp Lisbon,1,4,2,2,1,-2
75,05/12/2020,Porto,Tondela,4,1,4,3,0,2
76,06/12/2020,Nacional,Santa Clara,1,0,1,3,0,3
77,06/12/2020,Rio Ave,Boavista,1,1,0,0,-1,-1
78,06/12/2020,Belenenses,Sp Braga,0,0,2,1,2,1
79,06/12/2020,Benfica,Pacos Ferreira,1,2,2,1,1,-1
80,07/12/2020,Farense,Maritimo,2,0,2,1,0,1
81,18/12/2020,Portimonense,Famalicao,1,1,0,0,-1,-1
82,19/12/2020,Maritimo,Belenenses,1,1,1,0,0,-1
83,19/12/2020,Tondela,Moreirense,1,1,0,0,-1,-1
84,19/12/2020,Sp Lisbon,Farense,3,0,1,0,-2,0
85,20/12/2020,Pacos Ferreira,Boavista,0,0,1,1,1,1
86,20/12/2020,Gil Vicente,Benfica,3,2,0,2,-3,0
87,20/12/2020,Porto,Nacional,4,1,2,0,-2,-1
88,21/12/2020,Santa Clara,Guimaraes,1,1,0,4,-1,3
89,22/12/2020,Sp Braga,Rio Ave,1,0,3,0,2,0
90,27/12/2020,Famalicao,Gil Vicente,1,0,0,1,-1,1
91,27/12/2020,Nacional,Tondela,1,1,2,0,1,-1
92,27/12/2020,Farense,Pacos Ferreira,1,2,1,1,0,-1
93,27/12/2020,Belenenses,Sp Lisbon,0,1,1,2,1,1
94,28/12/2020,Rio Ave,Maritimo,0,0,1,3,1,3
95,28/12/2020,Boavista,Sp Braga,1,2,1,4,0,2
96,29/12/2020,Benfica,Portimonense,1,0,2,1,1,1
97,29/12/2020,Moreirense,Santa Clara,1,0,1,0,0,0
98,29/12/2020,Guimaraes,Porto,2,0,2,3,0,3
99,02/01/2021,Sp Lisbon,Sp Braga,2,2,2,0,0,-2
100,03/01/2021,Tondela,Famalicao,0,1,1,0,1,-1
101,03/01/2021,Maritimo,Boavista,7,1,0,0,-7,-1
102,03/01/2021,Pacos Ferreira,Rio Ave,1,0,2,0,1,0
103,03/01/2021,Porto,Moreirense,2,0,3,0,1,0
104,04/01/2021,Santa Clara,Benfica,0,3,1,1,1,-2
105,04/01/2021,Gil Vicente,Belenenses,1,0,0,0,-1,0
106,04/01/2021,Portimonense,Farense,1,0,2,0,1,0
107,07/01/2021,Sp Braga,Maritimo,1,0,2,1,1,1
108,08/01/2021,Nacional,Sp Lisbon,0,2,0,2,0,0
109,08/01/2021,Benfica,Tondela,2,1,2,0,0,-1
110,08/01/2021,Rio Ave,Portimonense,0,1,3,0,3,-1
111,08/01/2021,Famalicao,Porto,0,1,1,4,1,3
112,09/01/2021,Moreirense,Guimaraes,0,2,2,2,2,0
113,09/01/2021,Boavista,Santa Clara,1,0,1,1,0,1
114,10/01/2021,Farense,Gil Vicente,1,0,3,1,2,1
115,10/01/2021,Belenenses,Pacos Ferreira,0,1,0,2,0,1
116,15/01/2021,Sp Lisbon,Rio Ave,3,0,1,1,-2,1
117,15/01/2021,Porto,Benfica,3,1,1,1,-2,0
118,16/01/2021,Pacos Ferreira,Sp Braga,1,1,2,0,1,-1
119,16/01/2021,Tondela,Boavista,0,0,3,1,3,1
120,17/01/2021,Nacional,Moreirense,1,1,0,1,-1,0
121,17/01/2021,Santa Clara,Famalicao,2,0,1,2,-1,2
122,17/01/2021,Gil Vicente,Maritimo,1,0,0,1,-1,1
123,18/01/2021,Portimonense,Belenenses,1,0,1,0,0,0
124,21/01/2021,Guimaraes,Nacional,2,1,3,1,1,0
125,24/01/2021,Maritimo,Pacos Ferreira,1,2,0,3,-1,1
126,24/01/2021,Moreirense,Portimonense,1,0,2,2,1,2
127,24/01/2021,Famalicao,Guimaraes,2,4,0,1,-2,-3
128,25/01/2021,Belenenses,Tondela,0,2,2,0,2,-2
129,25/01/2021,Rio Ave,Santa Clara,2,1,1,2,-1,1
130,25/01/2021,Benfica,Nacional,2,0,1,1,-1,1
131,25/01/2021,Farense,Porto,1,1,0,1,-1,0
132,26/01/2021,Sp Braga,Gil Vicente,2,0,1,0,-1,0
133,26/01/2021,Boavista,Sp Lisbon,0,2,0,2,0,0
134,30/01/2021,Nacional,Famalicao,1,0,2,1,1,1
135,30/01/2021,Tondela,Farense,0,1,2,0,2,-1
136,30/01/2021,Portimonense,Boavista,3,0,1,2,-2,2
137,31/01/2021,Guimaraes,Maritimo,2,0,1,0,-1,0
138,01/02/2021,Santa Clara,Belenenses,0,1,2,0,2,-1
139,01/02/2021,Porto,Rio Ave,5,0,2,0,-3,0
140,01/02/2021,Moreirense,Sp Braga,1,1,0,4,-1,3
141,01/02/2021,Sp Lisbon,Benfica,1,0,1,0,0,0
142,02/02/2021,Gil Vicente,Pacos Ferreira,0,3,1,2,1,-1
143,04/02/2021,Farense,Santa Clara,1,2,1,1,0,-1
144,04/02/2021,Belenenses,Porto,0,1,0,0,0,-1
145,04/02/2021,Sp Braga,Portimonense,4,0,2,1,-2,1
146,04/02/2021,Famalicao,Moreirense,2,1,0,2,-2,1
147,05/02/2021,Rio Ave,Nacional,1,1,0,0,-1,-1
148,05/02/2021,Benfica,Guimaraes,1,1,0,0,-1,-1
149,05/02/2021,Maritimo,Sp Lisbon,0,1,0,2,0,1
150,05/02/2021,Boavista,Gil Vicente,1,0,1,2,0,2
151,05/02/2021,Pacos Ferreira,Tondela,1,0,2,1,1,1
152,07/02/2021,Sp Braga,Porto,1,0,2,2,1,2
153,08/02/2021,Farense,Moreirense,1,1,1,2,0,1
154,08/02/2021,Benfica,Famalicao,1,0,2,0,1,0
155,08/02/2021,Maritimo,Santa Clara,1,2,1,2,0,0
156,08/02/2021,Belenenses,Guimaraes,0,0,1,1,1,1
157,09/02/2021,Pacos Ferreira,Portimonense,2,0,0,0,-2,0
158,09/02/2021,Rio Ave,Tondela,1,1,2,1,1,0
159,09/02/2021,Boavista,Nacional,1,1,0,1,-1,0
160,09/02/2021,Gil Vicente,Sp Lisbon,0,2,1,2,1,0
161,12/02/2021,Famalicao,Belenenses,0,1,0,0,0,-1
162,13/02/2021,Nacional,Farense,1,0,2,3,1,3
163,13/02/2021,Guimaraes,Rio Ave,1,0,1,3,0,3
164,13/02/2021,Porto,Boavista,4,0,2,2,-2,2
165,14/02/2021,Portimonense,Gil Vicente,1,0,4,1,3,1
166,14/02/2021,Santa Clara,Sp Braga,2,1,0,1,-2,0
167,14/02/2021,Moreirense,Benfica,0,1,1,1,1,0
168,15/02/2021,Sp Lisbon,Pacos Ferreira,1,1,2,0,1,-1
169,16/02/2021,Tondela,Maritimo,1,0,2,1,1,1
170,17/02/2021,Guimaraes,Farense,1,1,2,2,1,1
171,19/02/2021,Boavista,Moreirense,1,1,1,0,0,-1
172,20/02/2021,Belenenses,Nacional,0,0,2,1,2,1
173,20/02/2021,Gil Vicente,Santa Clara,2,2,1,0,-1,-2
174,20/02/2021,Sp Lisbon,Portimonense,2,0,2,0,0,0
175,21/02/2021,Pacos Ferreira,Guimaraes,1,1,2,1,1,0
176,21/02/2021,Rio Ave,Famalicao,3,0,0,1,-3,1
177,21/02/2021,Sp Braga,Tondela,3,1,4,2,1,1
178,21/02/2021,Farense,Benfica,0,1,0,0,0,-1
179,22/02/2021,Maritimo,Porto,2,1,1,2,-1,1
180,26/02/2021,Guimaraes,Boavista,1,1,2,1,1,0
181,27/02/2021,Famalicao,Farense,0,0,0,0,0,0
182,27/02/2021,Santa Clara,Pacos Ferreira,0,1,3,0,3,-1
183,27/02/2021,Porto,Sp Lisbon,0,2,0,0,0,-2
184,28/02/2021,Portimonense,Maritimo,4,0,0,0,-4,0
185,28/02/2021,Tondela,Gil Vicente,1,0,1,0,0,0
186,28/02/2021,Nacional,Sp Braga,1,2,1,2,0,0
187,01/03/2021,Benfica,Rio Ave,0,0,2,0,2,0
188,01/03/2021,Moreirense,Belenenses,1,1,2,2,1,1
189,05/03/2021,Pacos Ferreira,Nacional,0,1,2,1,2,0
190,05/03/2021,Sp Lisbon,Santa Clara,0,0,2,1,2,1
191,06/03/2021,Portimonense,Tondela,2,2,3,0,1,-2
192,06/03/2021,Gil Vicente,Porto,1,1,0,2,-1,1
193,06/03/2021,Boavista,Famalicao,0,0,3,0,3,0
194,07/03/2021,Maritimo,Moreirense,1,1,0,2,-1,1
195,07/03/2021,Rio Ave,Farense,1,1,2,0,1,-1
196,08/03/2021,Belenenses,Benfica,0,1,0,3,0,2
197,09/03/2021,Sp Braga,Guimaraes,4,1,3,0,-1,-1
198,12/03/2021,Nacional,Maritimo,1,0,1,2,0,2
199,13/03/2021,Farense,Belenenses,2,1,0,1,-2,0
