,Date,HomeTeam,AwayTeam,PredHomeGoals,PredAwayGoals,RealHomeGoals,RealAwayGoals,ErrorHomeGoals,ErrorAwayGoals
0,05/08/2022,Benfica,Arouca,2,0,4,0,2,0
1,06/08/2022,Rio Ave,Vizela,1,1,0,1,-1,0
2,06/08/2022,Estoril,Famalicao,2,3,2,0,0,-3
3,06/08/2022,Porto,Maritimo,4,0,5,1,1,1
4,07/08/2022,Santa Clara,Casa Pia,1,1,0,0,-1,-1
5,07/08/2022,Sp Braga,Sp Lisbon,1,3,3,3,2,0
6,07/08/2022,Chaves,Guimaraes,1,3,0,1,-1,-2
7,07/08/2022,Portimonense,Boavista,3,1,0,1,-3,0
8,08/08/2022,Gil Vicente,Pacos Ferreira,3,1,1,0,-2,-1
9,12/08/2022,Famalicao,Sp Braga,2,2,0,3,-2,1
10,13/08/2022,Casa Pia,Benfica,0,2,0,1,0,-1
11,13/08/2022,Sp Lisbon,Rio Ave,4,0,3,0,-1,0
12,14/08/2022,Boavista,Santa Clara,1,1,2,1,1,0
13,14/08/2022,Vizela,Porto,1,2,0,1,-1,-1
14,14/08/2022,Guimaraes,Estoril,2,0,1,0,-1,0
15,15/08/2022,Maritimo,Chaves,2,1,1,2,-1,1
16,15/08/2022,Arouca,Gil Vicente,2,0,1,0,-1,0
17,15/08/2022,Pacos Ferreira,Portimonense,0,0,0,3,0,3
18,19/08/2022,Estoril,Rio Ave,2,0,2,2,0,2
19,20/08/2022,Santa Clara,Arouca,1,1,1,2,0,1
20,20/08/2022,Chaves,Vizela,2,1,1,1,-1,0
21,20/08/2022,Porto,Sp Lisbon,3,1,3,0,0,-1
22,21/08/2022,Casa Pia,Boavista,1,1,2,0,1,-1
23,21/08/2022,Sp Braga,Maritimo,4,0,5,0,1,0
24,21/08/2022,Portimonense,Guimaraes,0,1,2,1,2,0
25,22/08/2022,Gil Vicente,Famalicao,3,2,0,0,-3,-2
26,26/08/2022,Pacos Ferreira,Estoril,0,1,0,3,0,2
27,27/08/2022,Maritimo,Portimonense,1,2,0,1,-1,-1
28,27/08/2022,Boavista,Benfica,0,2,0,3,0,1
29,27/08/2022,Sp Lisbon,Chaves,3,1,0,2,-3,1
30,28/08/2022,Famalicao,Santa Clara,2,1,1,0,-1,-1
31,28/08/2022,Arouca,Sp Braga,1,3,0,6,-1,3
32,28/08/2022,Rio Ave,Porto,0,2,3,1,3,-1
33,29/08/2022,Guimaraes,Casa Pia,2,0,0,1,-2,1
34,29/08/2022,Vizela,Gil Vicente,1,0,2,2,1,2
35,30/08/2022,Benfica,Pacos Ferreira,4,0,3,2,-1,2
36,02/09/2022,Benfica,Vizela,3,0,2,1,-1,1
37,02/09/2022,Estoril,Sp Lisbon,2,2,0,2,-2,0
38,03/09/2022,Sp Braga,Guimaraes,3,0,1,0,-2,0
39,03/09/2022,Gil Vicente,Porto,1,1,0,2,-1,1
40,04/09/2022,Casa Pia,Arouca,1,1,0,0,-1,-1
41,04/09/2022,Santa Clara,Maritimo,1,0,2,1,1,1
42,04/09/2022,Portimonense,Famalicao,2,0,1,0,-1,0
43,05/09/2022,Boavista,Pacos Ferreira,2,1,1,0,-1,-1
44,05/09/2022,Chaves,Rio Ave,1,1,1,1,0,0
45,09/09/2022,Guimaraes,Santa Clara,1,0,1,0,0,0
46,10/09/2022,Famalicao,Benfica,0,1,0,1,0,0
47,10/09/2022,Sp Lisbon,Portimonense,1,0,4,0,3,0
48,10/09/2022,Porto,Chaves,4,0,3,0,-1,0
49,11/09/2022,Pacos Ferreira,Casa Pia,0,1,2,3,2,2
50,11/09/2022,Arouca,Boavista,1,1,1,2,0,1
51,11/09/2022,Maritimo,Gil Vicente,2,0,1,2,-1,2
52,11/09/2022,Rio Ave,Sp Braga,0,3,2,3,2,0
53,12/09/2022,Vizela,Estoril,2,1,0,1,-2,0
54,16/09/2022,Portimonense,Chaves,2,1,1,0,-1,-1
55,17/09/2022,Gil Vicente,Rio Ave,3,1,2,2,-1,1
