Team,AvgScored,AvgAgainst,HomeFactor,Matches
Arouca,1.588235294117647,1.4705882352941178,0.9285714285714286,34
Benfica,2.264705882352941,0.8235294117647058,1.15,34
Boavista,1.1470588235294117,1.8235294117647058,1.15,34
Casa Pia,1.1176470588235294,1.4705882352941178,0.85,34
Chaves,0.911764705882353,2.117647058823529,1.15,34
Estoril,1.4411764705882355,1.7058823529411766,1.0416666666666667,34
Estrela,0.9705882352941178,1.5588235294117645,1.15,34
Famalicao,1.0882352941176472,1.2058823529411766,1.15,34
Farense,1.3529411764705883,1.5,1.0909090909090908,34
Gil Vicente,1.2352941176470589,1.5294117647058822,1.15,34
Guimaraes,1.5294117647058822,1.1176470588235294,1.15,34
Moreirense,1.0588235294117647,1.0294117647058822,1.15,34
Portimonense,1.1470588235294117,2.1176470588235294,0.8571428571428571,34
Porto,1.852941176470588,0.7941176470588235,1.15,34
Rio Ave,1.1176470588235294,1.2647058823529411,1.15,34
Sp Braga,2.088235294117647,1.4705882352941178,0.8684210526315789,34
Sp Lisbon,2.8235294117647056,0.8529411764705883,1.15,34
Vizela,1.0588235294117647,1.9411764705882353,1.15,34
