,Date,HomeTeam,AwayTeam,PredHomeGoals,PredAwayGoals,RealHomeGoals,RealAwayGoals,ErrorHomeGoals,ErrorAwayGoals
0,09/08/2024,Sp Lisbon,Rio Ave,2,0,3,1,1,1
1,10/08/2024,AVS,Nacional,2,1,1,1,-1,0
2,10/08/2024,Casa Pia,Boavista,2,1,0,1,-2,0
3,10/08/2024,Porto,Gil Vicente,2,0,3,0,1,0
4,11/08/2024,Estoril,Santa Clara,2,1,1,4,-1,3
5,11/08/2024,Famalicao,Benfica,1,1,2,0,1,-1
6,11/08/2024,Farense,Moreirense,1,1,1,2,0,1
7,11/08/2024,Sp Braga,Estrela,2,1,1,1,-1,0
8,12/08/2024,Arouca,Guimaraes,2,2,0,1,-2,-1
9,16/08/2024,Santa Clara,Porto,0,1,0,2,0,1
10,16/08/2024,Gil Vicente,AVS,2,1,4,2,2,1
11,17/08/2024,Rio Ave,Farense,2,1,1,0,-1,-1
12,17/08/2024,Nacional,Sp Lisbon,0,3,1,6,1,3
13,17/08/2024,Benfica,Casa Pia,2,1,3,0,1,-1
14,18/08/2024,Moreirense,Arouca,2,0,3,1,1,1
15,18/08/2024,Guimaraes,Estoril,2,1,1,0,-1,-1
16,18/08/2024,Boavista,Sp Braga,2,1,0,1,-2,0
17,19/08/2024,Estrela,Famalicao,1,1,0,3,-1,2
18,23/08/2024,Farense,Sp Lisbon,1,4,0,5,-1,1
19,24/08/2024,Casa Pia,Santa Clara,3,1,0,2,-3,1
20,24/08/2024,Porto,Rio Ave,3,0,2,0,-1,0
21,24/08/2024,Benfica,Estrela,3,0,1,0,-2,0
22,24/08/2024,Famalicao,Boavista,2,0,1,0,-1,0
23,25/08/2024,Arouca,Nacional,2,1,1,0,-1,-1
24,25/08/2024,Estoril,Gil Vicente,2,0,0,0,-2,0
25,25/08/2024,AVS,Guimaraes,1,1,1,0,0,-1
26,25/08/2024,Sp Braga,Moreirense,1,1,3,1,2,0
27,30/08/2024,Moreirense,Benfica,1,1,1,1,0,0
28,31/08/2024,Santa Clara,AVS,2,1,2,1,0,0
29,31/08/2024,Boavista,Estoril,1,1,0,0,-1,-1
30,31/08/2024,Estrela,Casa Pia,1,1,0,1,-1,0
31,31/08/2024,Sp Lisbon,Porto,1,0,2,0,1,0
32,01/09/2024,Nacional,Farense,1,1,2,0,1,-1
33,01/09/2024,Rio Ave,Arouca,1,1,1,0,0,-1
34,01/09/2024,Gil Vicente,Sp Braga,2,2,0,0,-2,-2
35,01/09/2024,Guimaraes,Famalicao,0,1,2,1,2,0
36,13/09/2024,Arouca,Sp Lisbon,0,4,0,3,0,-1
37,14/09/2024,Casa Pia,Moreirense,1,1,3,1,2,0
38,14/09/2024,AVS,Rio Ave,1,1,1,0,0,-1
39,14/09/2024,Benfica,Santa Clara,2,1,4,1,2,0
40,14/09/2024,Famalicao,Gil Vicente,1,0,1,1,0,1
41,15/09/2024,Porto,Farense,3,0,2,1,-1,1
42,15/09/2024,Estoril,Nacional,1,1,1,0,0,-1
43,15/09/2024,Sp Braga,Guimaraes,1,1,0,2,-1,1
44,16/09/2024,Estrela,Boavista,1,0,2,2,1,2
45,20/09/2024,Nacional,Sp Braga,1,1,0,3,-1,2
46,21/09/2024,Rio Ave,Estoril,1,0,2,2,1,2
47,21/09/2024,Santa Clara,Estrela,2,1,1,0,-1,-1
48,21/09/2024,Guimaraes,Porto,1,0,0,3,-1,3
49,21/09/2024,Moreirense,Famalicao,1,2,0,0,-1,-2
50,22/09/2024,Gil Vicente,Casa Pia,2,0,1,1,-1,1
51,22/09/2024,Farense,Arouca,1,1,0,1,-1,0
52,22/09/2024,Sp Lisbon,AVS,4,0,3,0,-1,0
53,23/09/2024,Boavista,Benfica,0,1,0,3,0,2
54,27/09/2024,Estoril,Sp Lisbon,0,4,0,3,0,-1
55,28/09/2024,Estrela,Moreirense,1,1,2,1,1,0
56,28/09/2024,Casa Pia,Guimaraes,1,1,1,1,0,0
57,28/09/2024,Benfica,Gil Vicente,2,0,5,1,3,1
58,29/09/2024,Famalicao,Nacional,1,0,0,0,-1,0
59,29/09/2024,Porto,Arouca,4,0,4,0,0,0
60,29/09/2024,Santa Clara,Boavista,2,0,1,0,-1,0
61,29/09/2024,Sp Braga,Rio Ave,2,0,4,0,2,0
62,30/09/2024,AVS,Farense,2,1,0,0,-2,-1
63,04/10/2024,Rio Ave,Famalicao,0,1,1,1,1,0
64,05/10/2024,Gil Vicente,Estrela,2,1,3,0,1,-1
65,05/10/2024,Moreirense,Santa Clara,1,1,1,0,0,-1
66,05/10/2024,Arouca,AVS,2,1,1,1,-1,0
67,05/10/2024,Sp Lisbon,Casa Pia,4,0,2,0,-2,0
68,06/10/2024,Farense,Estoril,2,1,1,0,-1,-1
69,06/10/2024,Guimaraes,Boavista,1,0,2,2,1,2
70,06/10/2024,Porto,Sp Braga,2,1,2,1,0,0
71,25/10/2024,Casa Pia,Nacional,2,1,1,0,-1,-1
72,25/10/2024,Santa Clara,Gil Vicente,1,0,2,1,1,1
73,26/10/2024,Estoril,Arouca,2,1,4,1,2,0
74,26/10/2024,Boavista,Moreirense,1,1,0,2,-1,1
75,26/10/2024,Famalicao,Sp Lisbon,0,1,0,3,0,2
76,27/10/2024,Sp Braga,Farense,3,0,2,0,-1,0
