,Team,LambdaAtt,LambdaDef,HomeFactor
0,Aves,0.5661861074705111,1.6041939711664481,1.0
1,Belenenses,0.9293871633062589,1.1885301063547609,0.9285714285714286
2,Benfica,2.3470053575265775,0.6869541657778351,1.1515151515151516
3,Boavista,2.008727298298783,1.23998117538865,1.153846153846154
4,Famalicao,1.5955663979204706,2.033264052969568,1.1199999999999999
5,Gil Vicente,0.9251247023908027,1.0854735831456195,1.8571428571428572
6,Guimaraes,0.8690106230573644,1.1421932230295864,1.0384615384615385
7,Maritimo,0.9707082937258503,1.7547801459854566,2.4
8,Moreirense,1.6574808165806934,1.219845092955849,1.2105263157894737
9,Pacos Ferreira,0.8683559212237013,2.0480875364877384,0.7142857142857142
10,Portimonense,0.5379163851423796,2.0115422066275332,1.5
11,Porto,2.6438069254361016,0.7600579697885232,1.4666666666666668
12,Rio Ave,1.1972684862489436,1.8727136202673322,1.2857142857142856
13,Santa Clara,1.0010036077681097,2.0492327014416025,1.0
14,Setubal,0.6369593709043251,1.0144167758846658,1.2499999999999998
15,Sp Braga,2.2012630919336456,0.8666615494007814,1.103448275862069
16,Sp Lisbon,1.995614814848099,1.1428100893641628,1.0416666666666667
17,Tondela,1.120753326460063,1.9575438258719062,0.6666666666666667
