,Date,HomeTeam,AwayTeam,PredHomeGoals,PredAwayGoals,RealHomeGoals,RealAwayGoals,ErrorHomeGoals,ErrorAwayGoals
0,06/08/2021,Sp Lisbon,Vizela,4,1,3,0,-1,-1
1,07/08/2021,Arouca,Estoril,2,1,0,2,-2,1
2,07/08/2021,Moreirense,Benfica,3,2,1,2,-2,0
3,07/08/2021,Maritimo,Sp Braga,1,1,0,2,-1,1
4,08/08/2021,Guimaraes,Portimonense,0,0,0,1,0,1
5,08/08/2021,Tondela,Santa Clara,0,4,3,0,3,-4
6,08/08/2021,Porto,Belenenses,7,0,2,0,-5,0
7,08/08/2021,Pacos Ferreira,Famalicao,1,2,2,0,1,-2
8,09/08/2021,Gil Vicente,Boavista,2,1,3,0,1,-1
9,13/08/2021,Estoril,Guimaraes,2,1,0,0,-2,-1
10,14/08/2021,Vizela,Tondela,2,3,2,1,0,-2
11,14/08/2021,Benfica,Arouca,4,1,2,0,-2,-1
12,14/08/2021,Sp Braga,Sp Lisbon,1,1,1,2,0,1
13,15/08/2021,Portimonense,Gil Vicente,0,0,0,1,0,1
14,15/08/2021,Famalicao,Porto,0,2,1,2,1,0
15,15/08/2021,Santa Clara,Moreirense,1,1,2,2,1,1
16,16/08/2021,Boavista,Pacos Ferreira,2,2,3,0,1,-2
17,16/08/2021,Belenenses,Maritimo,1,0,1,2,0,2
18,20/08/2021,Arouca,Famalicao,2,1,2,1,0,0
19,20/08/2021,Moreirense,Sp Braga,1,1,2,3,1,2
20,21/08/2021,Gil Vicente,Benfica,2,1,0,2,-2,1
21,21/08/2021,Sp Lisbon,Belenenses,4,0,2,0,-2,0
22,22/08/2021,Tondela,Portimonense,0,0,0,3,0,3
23,22/08/2021,Maritimo,Porto,1,2,1,1,0,-1
24,22/08/2021,Guimaraes,Vizela,0,1,4,0,4,-1
25,23/08/2021,Pacos Ferreira,Estoril,1,1,1,3,0,2
26,23/08/2021,Boavista,Santa Clara,2,1,2,0,0,-1
27,27/08/2021,Belenenses,Moreirense,1,2,1,1,0,-1
28,27/08/2021,Estoril,Maritimo,2,0,2,1,0,1
29,28/08/2021,Vizela,Boavista,1,1,1,1,0,0
30,28/08/2021,Porto,Arouca,4,0,3,0,-1,0
31,28/08/2021,Famalicao,Sp Lisbon,1,4,1,1,0,-3
32,29/08/2021,Benfica,Tondela,6,1,2,1,-4,0
33,29/08/2021,Sp Braga,Guimaraes,1,1,0,0,-1,-1
34,29/08/2021,Portimonense,Pacos Ferreira,3,1,0,1,-3,0
35,29/08/2021,Santa Clara,Gil Vicente,1,0,1,0,0,0
36,11/09/2021,Pacos Ferreira,Sp Braga,0,1,0,0,0,-1
37,11/09/2021,Santa Clara,Benfica,0,2,0,5,0,3
38,11/09/2021,Sp Lisbon,Porto,1,1,1,1,0,0
39,12/09/2021,Moreirense,Famalicao,2,1,2,2,0,1
40,12/09/2021,Boavista,Portimonense,1,0,1,1,0,1
41,12/09/2021,Gil Vicente,Vizela,2,0,2,2,0,2
42,12/09/2021,Guimaraes,Belenenses,1,0,0,0,-1,0
43,13/09/2021,Maritimo,Arouca,2,1,2,2,0,1
44,13/09/2021,Tondela,Estoril,1,1,1,2,0,1
45,17/09/2021,Portimonense,Santa Clara,2,0,2,1,0,1
46,18/09/2021,Famalicao,Maritimo,2,0,0,0,-2,0
47,18/09/2021,Belenenses,Gil Vicente,0,0,1,1,1,1
48,18/09/2021,Arouca,Guimaraes,0,1,2,2,2,1
49,19/09/2021,Vizela,Pacos Ferreira,1,1,1,1,0,0
50,19/09/2021,Porto,Moreirense,5,0,5,0,0,0
51,19/09/2021,Estoril,Sp Lisbon,1,2,0,1,-1,-1
52,20/09/2021,Benfica,Boavista,3,0,3,1,0,1
53,20/09/2021,Sp Braga,Tondela,1,1,3,1,2,0
54,24/09/2021,Sp Lisbon,Maritimo,2,0,1,0,-1,0
55,24/09/2021,Gil Vicente,Porto,1,1,1,2,0,1
56,25/09/2021,Moreirense,Arouca,2,2,2,1,0,-1
57,25/09/2021,Guimaraes,Benfica,0,2,1,3,1,1
58,25/09/2021,Tondela,Famalicao,0,1,3,2,3,1
59,26/09/2021,Santa Clara,Sp Braga,0,2,1,1,1,-1
60,26/09/2021,Portimonense,Vizela,2,0,0,0,-2,0
61,27/09/2021,Pacos Ferreira,Belenenses,0,0,2,2,2,2
62,27/09/2021,Boavista,Estoril,2,1,1,1,-1,0
63,01/10/2021,Maritimo,Moreirense,3,1,0,0,-3,-1
64,01/10/2021,Famalicao,Guimaraes,1,2,1,2,0,0
65,02/10/2021,Vizela,Santa Clara,2,1,1,1,-1,0
66,02/10/2021,Porto,Pacos Ferreira,5,1,2,1,-3,0
67,02/10/2021,Arouca,Sp Lisbon,0,1,1,2,1,1
68,03/10/2021,Belenenses,Tondela,2,3,0,2,-2,-1
69,03/10/2021,Benfica,Portimonense,2,0,0,1,-2,1
70,03/10/2021,Estoril,Gil Vicente,2,0,2,2,0,2
71,03/10/2021,Sp Braga,Boavista,1,0,2,2,1,2
72,22/10/2021,Guimaraes,Maritimo,1,0,2,1,1,1
73,23/10/2021,Santa Clara,Famalicao,2,1,0,2,-2,1
74,23/10/2021,Tondela,Porto,0,1,1,3,1,2
75,23/10/2021,Sp Lisbon,Moreirense,2,0,1,0,-1,0
76,24/10/2021,Pacos Ferreira,Arouca,1,1,0,0,-1,-1
77,24/10/2021,Vizela,Benfica,1,2,0,1,-1,-1
78,24/10/2021,Portimonense,Estoril,1,0,0,2,-1,2
79,25/10/2021,Gil Vicente,Sp Braga,3,2,0,1,-3,-1
80,25/10/2021,Boavista,Belenenses,2,1,0,0,-2,-1
81,29/10/2021,Arouca,Tondela,2,2,2,0,0,-2
82,30/10/2021,Porto,Boavista,3,0,4,1,1,1
83,30/10/2021,Estoril,Benfica,0,2,1,1,1,-1
84,30/10/2021,Sp Lisbon,Guimaraes,2,0,1,0,-1,0
85,31/10/2021,Maritimo,Gil Vicente,1,0,1,2,0,2
86,31/10/2021,Belenenses,Santa Clara,0,0,2,1,2,1
87,31/10/2021,Famalicao,Vizela,2,1,1,1,-1,0
88,01/11/2021,Sp Braga,Portimonense,1,0,3,0,2,0
89,01/11/2021,Moreirense,Pacos Ferreira,1,1,1,1,0,0
90,05/11/2021,Gil Vicente,Arouca,3,1,1,1,-2,0
