Team,AvgScored,AvgAgainst,HomeFactor,Matches
Belenenses,0.7352941176470589,1.0294117647058822,1.5,34
Benfica,2.0294117647058822,0.7941176470588236,0.8157894736842105,34
Boavista,1.1470588235294117,1.4411764705882353,0.7727272727272727,34
Famalicao,1.1764705882352942,1.411764705882353,0.9047619047619048,34
Farense,0.911764705882353,1.4117647058823528,1.5833333333333333,34
Gil Vicente,0.9705882352941176,1.2352941176470589,0.6499999999999999,34
Guimaraes,1.0882352941176472,1.2941176470588234,1.3125,34
Maritimo,0.7941176470588236,1.3823529411764706,0.5882352941176471,34
Moreirense,1.0882352941176472,1.2647058823529411,1.8461538461538465,34
Nacional,0.8823529411764706,1.7352941176470589,1.7272727272727273,34
Pacos Ferreira,1.1764705882352942,1.2058823529411766,1.3529411764705883,34
Portimonense,1.0,1.2058823529411766,1.4285714285714286,34
Porto,2.1764705882352944,0.8529411764705882,1.1764705882352942,34
Rio Ave,0.7352941176470589,1.1764705882352942,0.9230769230769232,34
Santa Clara,1.2941176470588234,1.0588235294117647,1.4444444444444444,34
Sp Braga,1.5588235294117645,0.9705882352941176,1.0384615384615385,34
Sp Lisbon,1.9117647058823528,0.5882352941176471,1.096774193548387,34
Tondela,1.0588235294117647,1.6764705882352942,1.0,34
