,Team,LambdaAtt,LambdaDef,HomeFactor
0,Belenenses,0.8571127183748554,1.7426741631075884,1.15
1,Benfica,2.7300359942518866,1.2986412889831247,0.85
2,Boavista,1.3157356769325446,0.9503799483362265,0.85
3,Famalicao,1.2173225095606377,1.273640353297094,0.9047619047619048
4,Gil Vicente,1.1414395217045774,1.129584366238774,0.85
5,Guimaraes,0.8744436731254381,1.3902298739732168,1.15
6,Maritimo,0.6685412424187521,1.7441198603884396,0.85
7,Moreirense,1.645530369502921,1.0651350313764658,1.15
8,Pacos Ferreira,1.3022278391331799,1.7398195953001185,1.15
9,Portimonense,0.4767423613495463,0.9053934948575989,1.15
10,Porto,2.7524400302681324,0.6041148606723492,1.15
11,Rio Ave,0.7282027726276268,1.2801535657127983,0.9230769230769232
12,Santa Clara,1.951530361270382,0.5458476243265763,1.15
13,Sp Braga,0.8094085500912812,0.7646612407365274,1.0384615384615385
14,Sp Lisbon,2.611648604247436,1.3090550387866806,1.096774193548387
15,Tondela,1.0682494488020668,1.8441937018196548,1.0
16,Farense,0.7911946999670333,2.0565001879793066,1.15
17,Nacional,0.8637440749836467,2.154806748930731,1.15
