Team,AvgScored,AvgAgainst,HomeFactor,Matches
AVS,0.7352941176470589,1.7647058823529411,1.0833333333333333,34
Arouca,1.0294117647058822,1.4411764705882353,0.8421052631578947,34
Benfica,2.4705882352941178,0.8235294117647058,1.625,34
Boavista,0.7058823529411764,1.7352941176470589,0.5,34
Casa Pia,1.1470588235294117,1.2941176470588236,1.2941176470588236,34
Estoril,1.411764705882353,1.5588235294117647,0.92,34
Estrela,0.7058823529411765,1.4705882352941178,3.0,34
Famalicao,1.2941176470588236,1.1470588235294117,0.8333333333333333,34
Farense,0.7352941176470589,1.3529411764705883,0.6666666666666667,34
Gil Vicente,1.0,1.3823529411764706,1.125,34
Guimaraes,1.3823529411764706,1.0882352941176472,1.611111111111111,34
Moreirense,1.2352941176470589,1.4705882352941178,1.1,34
Nacional,0.9411764705882353,1.4705882352941178,2.555555555555556,34
Porto,1.9117647058823528,0.8823529411764706,1.5,34
Rio Ave,1.1470588235294117,1.6176470588235294,1.785714285714286,34
Santa Clara,1.0588235294117647,0.9411764705882353,1.0,34
Sp Braga,1.6176470588235294,0.8823529411764706,1.5,34
Sp Lisbon,2.588235294117647,0.7941176470588235,0.8333333333333333,34
