,Team,LambdaAtt,LambdaDef,HomeFactor
0,Benfica,1.7378480518494461,0.7941002207312503,1.15
1,Boavista,0.9303921862752775,2.1720577999392603,0.85
2,Famalicao,1.4225103185301768,1.2167713953674937,0.85
3,Gil Vicente,0.9617007997950447,0.8525075391627763,1.125
4,Guimaraes,1.0877591868841254,1.256074313237346,1.15
5,Porto,1.6293917683348846,0.8477093130839123,1.15
6,Sp Braga,1.2261817033806846,0.9967336848861582,1.15
7,Sp Lisbon,1.9320590178804624,0.5041716571218496,0.85
8,Estoril,1.9119346357536078,1.1221416198963141,0.92
9,Arouca,1.4112131363406053,0.9246111687718309,0.85
10,Casa Pia,0.8423073330250033,1.2417788549287034,1.15
11,Rio Ave,1.3496992087935267,1.3772934044565126,1.15
12,Estrela,0.25739690625406436,1.7042676781383972,1.15
13,Farense,1.0667517425047934,1.120070950459431,0.85
14,Moreirense,1.4882682829833211,1.2544384429152895,1.1
15,Nacional,0.9172338855465118,1.8069309341352076,1.15
16,Santa Clara,1.4550168934677106,0.8320278591546176,1.0
17,AVS,0.48032921961153463,2.1008152535309685,1.0833333333333333
