Team,AvgScored,AvgAgainst,HomeFactor,Matches
Arouca,1.0588235294117647,1.0882352941176472,1.5714285714285716,34
Benfica,2.4117647058823533,0.5882352941176471,1.411764705882353,34
Boavista,1.2647058823529411,1.5882352941176472,1.1500000000000001,34
Casa Pia,0.9117647058823529,1.1764705882352942,1.3846153846153848,34
Chaves,1.0294117647058822,1.1764705882352942,1.3333333333333335,34
Estoril,0.9705882352941176,1.4411764705882355,1.5384615384615385,34
Famalicao,1.1470588235294117,1.3823529411764706,1.1666666666666667,34
Gil Vicente,0.9411764705882353,1.2058823529411764,0.8823529411764706,34
Guimaraes,1.0,1.1470588235294117,1.125,34
Maritimo,0.9411764705882353,1.8529411764705883,1.9090909090909092,34
Pacos Ferreira,0.7647058823529411,1.8235294117647058,1.0,34
Portimonense,0.7352941176470589,1.4117647058823528,1.2727272727272727,34
Porto,2.1470588235294117,0.6470588235294118,1.517241379310345,34
Rio Ave,1.0588235294117647,1.2647058823529411,1.0,34
Santa Clara,0.7647058823529411,1.7058823529411764,2.25,34
Sp Braga,2.2058823529411766,0.8823529411764706,1.142857142857143,34
Sp Lisbon,2.088235294117647,0.9411764705882353,1.4482758620689655,34
Vizela,1.0,1.1176470588235294,1.125,34
