,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,P1,09/08/2024,20:15,Sp Lisbon,Rio Ave,3,1,H,2,0,H,23,3,6,1,9,14,6,1,2,2,0,0
1,P1,10/08/2024,15:30,AVS,Nacional,1,1,D,0,1,A,17,6,3,2,8,13,4,2,1,1,0,0
2,P1,10/08/2024,18:00,Casa Pia,Boavista,0,1,A,0,0,D,15,5,4,2,12,6,3,1,2,1,0,0
3,P1,10/08/2024,20:30,Porto,Gil Vicente,3,0,H,1,0,H,16,3,7,2,18,10,6,2,0,3,0,1
4,P1,11/08/2024,15:30,Estoril,Santa Clara,1,4,A,1,1,D,4,9,2,8,11,20,1,3,6,3,0,0
5,P1,11/08/2024,18:00,Famalicao,Benfica,2,0,H,1,0,H,9,10,5,1,8,13,0,7,3,4,0,0
6,P1,11/08/2024,18:00,Farense,Moreirense,1,2,A,0,1,A,10,10,5,6,14,11,5,4,0,4,0,1
7,P1,11/08/2024,20:30,Sp Braga,Estrela,1,1,D,0,0,D,13,6,5,4,14,9,13,4,3,5,0,0
8,P1,12/08/2024,20:15,Arouca,Guimaraes,0,1,A,0,1,A,8,11,0,4,13,11,6,5,7,2,1,0
9,P1,16/08/2024,17:00,Santa Clara,Porto,0,2,A,0,2,A,5,8,2,6,19,12,2,2,2,3,1,0
10,P1,16/08/2024,20:15,Gil Vicente,AVS,4,2,H,2,2,D,16,10,6,5,6,12,2,3,1,4,0,1
11,P1,17/08/2024,15:30,Rio Ave,Farense,1,0,H,1,0,H,9,14,3,4,8,16,7,14,0,1,0,0
12,P1,17/08/2024,18:00,Nacional,Sp Lisbon,1,6,A,1,2,A,12,20,6,10,9,10,4,3,1,1,0,0
13,P1,17/08/2024,20:30,Benfica,Casa Pia,3,0,H,0,0,D,26,5,7,1,6,14,12,2,0,1,0,0
14,P1,18/08/2024,15:30,Moreirense,Arouca,3,1,H,2,1,H,14,15,6,3,14,12,7,5,1,2,0,0
15,P1,18/08/2024,18:00,Guimaraes,Estoril,1,0,H,1,0,H,14,3,5,1,15,17,9,3,2,1,0,0
16,P1,18/08/2024,20:30,Boavista,Sp Braga,0,1,A,0,1,A,7,12,1,3,8,9,3,8,3,1,0,0
17,P1,19/08/2024,20:15,Estrela,Famalicao,0,3,A,0,1,A,8,11,2,8,10,10,2,4,3,1,0,0
18,P1,23/08/2024,20:15,Farense,Sp Lisbon,0,5,A,0,2,A,4,28,1,8,18,5,1,5,4,1,0,0
19,P1,24/08/2024,15:30,Casa Pia,Santa Clara,0,2,A,0,0,D,10,7,3,4,14,21,7,1,4,4,1,0
20,P1,24/08/2024,18:00,Porto,Rio Ave,2,0,H,2,0,H,23,0,12,0,14,15,9,3,0,2,0,1
21,P1,24/08/2024,20:30,Benfica,Estrela,1,0,H,1,0,H,16,5,9,0,19,12,12,2,4,3,0,0
22,P1,24/08/2024,20:30,Famalicao,Boavista,1,0,H,1,0,H,10,5,4,2,18,16,7,3,1,3,0,0
23,P1,25/08/2024,15:30,Arouca,Nacional,1,0,H,1,0,H,10,11,4,1,17,11,9,2,2,6,0,0
24,P1,25/08/2024,18:00,Estoril,Gil Vicente,0,0,D,0,0,D,12,10,2,4,19,6,8,1,4,1,0,0
25,P1,25/08/2024,20:30,AVS,Guimaraes,1,0,H,0,0,D,9,13,2,5,15,13,3,6,3,3,0,0
26,P1,25/08/2024,20:30,Sp Braga,Moreirense,3,1,H,1,0,H,19,12,7,5,11,7,6,1,0,2,0,0
27,P1,30/08/2024,20:15,Moreirense,Benfica,1,1,D,0,0,D,8,12,6,4,17,7,0,8,3,5,0,0
28,P1,31/08/2024,15:30,Santa Clara,AVS,2,1,H,1,1,D,15,9,6,2,12,9,3,2,1,2,0,0
29,P1,31/08/2024,18:00,Boavista,Estoril,0,0,D,0,0,D,19,7,5,1,12,19,8,3,2,5,0,0
30,P1,31/08/2024,18:00,Estrela,Casa Pia,0,1,A,0,0,D,14,15,4,6,9,22,2,7,1,1,0,0
31,P1,31/08/2024,20:30,Sp Lisbon,Porto,2,0,H,0,0,D,11,8,4,2,14,18,2,3,1,5,0,0
32,P1,01/09/2024,15:30,Nacional,Farense,2,0,H,1,0,H,17,14,4,2,19,16,4,4,3,3,0,0
33,P1,01/09/2024,18:00,Rio Ave,Arouca,1,0,H,1,0,H,11,13,3,3,16,19,8,8,1,3,0,0
34,P1,01/09/2024,20:30,Gil Vicente,Sp Braga,0,0,D,0,0,D,10,8,5,2,8,18,4,5,4,1,0,0
35,P1,01/09/2024,20:30,Guimaraes,Famalicao,2,1,H,1,1,D,8,8,4,4,18,12,5,7,5,3,0,0
36,P1,13/09/2024,20:15,Arouca,Sp Lisbon,0,3,A,0,1,A,6,21,2,6,14,11,2,8,3,0,0,0
37,P1,14/09/2024,15:30,Casa Pia,Moreirense,3,1,H,0,1,A,16,12,4,2,23,10,4,5,5,2,0,0
38,P1,14/09/2024,18:00,AVS,Rio Ave,1,0,H,0,0,D,11,17,3,3,13,12,4,11,4,2,0,0
39,P1,14/09/2024,20:30,Benfica,Santa Clara,4,1,H,2,1,H,15,6,7,2,14,7,5,1,1,3,0,0
40,P1,14/09/2024,20:30,Famalicao,Gil Vicente,1,1,D,1,0,H,13,8,4,3,11,16,8,1,1,0,0,0
41,P1,15/09/2024,15:30,Porto,Farense,2,1,H,0,0,D,23,12,11,5,7,19,11,0,2,3,0,0
42,P1,15/09/2024,18:00,Estoril,Nacional,1,0,H,1,0,H,11,15,3,3,22,14,3,4,2,1,0,1
43,P1,15/09/2024,20:30,Sp Braga,Guimaraes,0,2,A,0,0,D,5,10,2,4,20,17,6,4,3,3,1,0
44,P1,16/09/2024,20:15,Estrela,Boavista,2,2,D,1,2,A,20,12,3,4,8,17,9,2,3,4,0,0
45,P1,20/09/2024,20:15,Nacional,Sp Braga,0,3,A,0,0,D,12,15,2,5,12,17,6,6,3,3,0,0
46,P1,21/09/2024,15:30,Rio Ave,Estoril,2,2,D,1,0,H,15,8,7,3,16,9,7,4,2,2,0,0
47,P1,21/09/2024,15:30,Santa Clara,Estrela,1,0,H,0,0,D,8,11,4,4,17,18,3,8,2,3,0,0
48,P1,21/09/2024,18:00,Guimaraes,Porto,0,3,A,0,0,D,6,12,1,4,7,18,5,6,4,4,0,0
49,P1,21/09/2024,20:30,Moreirense,Famalicao,0,0,D,0,0,D,8,6,3,1,24,15,4,3,5,3,0,0
50,P1,22/09/2024,15:30,Gil Vicente,Casa Pia,1,1,D,1,0,H,15,8,4,4,7,24,9,2,2,5,0,0
51,P1,22/09/2024,18:00,Farense,Arouca,0,1,A,0,1,A,16,11,2,2,22,16,10,6,1,4,0,0
52,P1,22/09/2024,20:30,Sp Lisbon,AVS,3,0,H,2,0,H,22,3,9,0,11,12,9,1,0,3,0,0
53,P1,23/09/2024,20:15,Boavista,Benfica,0,3,A,0,2,A,7,16,3,9,9,9,4,5,2,0,0,0
54,P1,27/09/2024,20:15,Estoril,Sp Lisbon,0,3,A,0,2,A,5,22,2,5,13,8,1,14,2,0,0,0
55,P1,28/09/2024,15:30,Estrela,Moreirense,2,1,H,2,0,H,4,13,2,2,27,18,2,7,3,3,0,1
56,P1,28/09/2024,18:00,Casa Pia,Guimaraes,1,1,D,1,0,H,9,19,4,7,13,9,7,9,2,0,0,0
57,P1,28/09/2024,20:30,Benfica,Gil Vicente,5,1,H,2,1,H,18,10,6,4,10,6,11,2,1,2,0,0
58,P1,29/09/2024,15:30,Famalicao,Nacional,0,0,D,0,0,D,16,11,5,4,13,22,8,4,1,4,0,0
59,P1,29/09/2024,18:00,Porto,Arouca,4,0,H,0,0,D,26,4,7,0,17,7,8,2,2,3,0,1
60,P1,29/09/2024,20:30,Santa Clara,Boavista,1,0,H,1,0,H,15,4,5,2,11,9,3,0,4,3,0,0
61,P1,29/09/2024,20:30,Sp Braga,Rio Ave,4,0,H,2,0,H,18,13,8,4,13,11,4,5,0,2,0,0
62,P1,30/09/2024,20:15,AVS,Farense,0,0,D,0,0,D,12,9,1,3,14,11,6,3,4,3,0,0
63,P1,04/10/2024,20:15,Rio Ave,Famalicao,1,1,D,0,0,D,15,8,6,3,17,13,11,7,4,3,0,0
64,P1,05/10/2024,15:30,Gil Vicente,Estrela,3,0,H,2,0,H,6,11,5,2,14,15,0,8,2,1,0,0
