,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,P1,06/08/2021,20:15,Sp Lisbon,Vizela,3,0,H,0,0,D,15,6,5,1,9,16,3,5,1,3,0,0
1,P1,07/08/2021,12:45,Arouca,Estoril,0,2,A,0,1,A,11,12,3,6,14,13,3,2,1,3,0,0
2,P1,07/08/2021,18:00,Moreirense,Benfica,1,2,A,1,2,A,8,9,3,6,20,18,0,6,4,4,0,1
3,P1,07/08/2021,20:30,Maritimo,Sp Braga,0,2,A,0,0,D,7,12,0,5,23,12,3,6,3,3,0,0
4,P1,08/08/2021,15:30,Guimaraes,Portimonense,0,1,A,0,0,D,18,7,3,1,15,12,10,5,2,3,0,0
5,P1,08/08/2021,15:30,Tondela,Santa Clara,3,0,H,1,0,H,10,23,5,5,18,12,3,5,1,3,0,0
6,P1,08/08/2021,18:00,Porto,Belenenses,2,0,H,1,0,H,21,7,7,3,11,15,8,3,2,3,0,0
7,P1,08/08/2021,20:30,Pacos Ferreira,Famalicao,2,0,H,0,0,D,20,10,3,2,33,20,6,3,2,4,0,0
8,P1,09/08/2021,20:15,Gil Vicente,Boavista,3,0,H,2,0,H,9,13,6,5,21,10,1,5,3,3,0,0
9,P1,13/08/2021,20:15,Estoril,Guimaraes,0,0,D,0,0,D,7,12,1,2,15,14,4,9,1,4,0,1
10,P1,14/08/2021,15:30,Vizela,Tondela,2,1,H,0,1,A,20,8,6,2,18,11,11,4,2,3,0,0
11,P1,14/08/2021,18:00,Benfica,Arouca,2,0,H,2,0,H,17,3,5,1,17,2,4,2,1,0,0,1
12,P1,14/08/2021,20:30,Sp Braga,Sp Lisbon,1,2,A,0,1,A,16,5,6,3,18,14,6,5,3,4,0,1
13,P1,15/08/2021,15:30,Portimonense,Gil Vicente,0,1,A,0,0,D,18,7,5,4,11,18,5,4,3,2,0,0
14,P1,15/08/2021,18:00,Famalicao,Porto,1,2,A,0,2,A,7,12,1,4,16,14,3,2,3,1,0,0
15,P1,15/08/2021,20:30,Santa Clara,Moreirense,2,2,D,0,0,D,17,10,4,4,13,21,5,4,5,4,0,1
16,P1,16/08/2021,19:00,Boavista,Pacos Ferreira,3,0,H,1,0,H,8,17,4,5,16,15,2,8,3,2,0,0
17,P1,16/08/2021,21:15,Belenenses,Maritimo,1,2,A,1,2,A,5,13,2,4,22,21,3,4,4,5,0,0
18,P1,20/08/2021,19:00,Arouca,Famalicao,2,1,H,0,1,A,22,10,6,5,18,22,10,9,4,4,0,0
19,P1,20/08/2021,21:15,Moreirense,Sp Braga,2,3,A,0,2,A,13,16,5,7,14,10,6,0,4,2,0,0
20,P1,21/08/2021,18:00,Gil Vicente,Benfica,0,2,A,0,0,D,5,21,2,7,7,13,3,9,3,2,0,0
21,P1,21/08/2021,20:30,Sp Lisbon,Belenenses,2,0,H,1,0,H,26,3,7,0,15,12,10,0,2,2,0,1
22,P1,22/08/2021,15:30,Tondela,Portimonense,0,3,A,0,2,A,11,7,3,5,14,18,6,5,4,4,0,0
