,Team,LambdaAtt,LambdaDef,HomeFactor
0,Belenenses,0.8998840988415435,1.1453740232317489,1.5
1,Benfica,1.8621800508253306,0.7909403169608586,0.8157894736842105
2,Boavista,1.0358343410531516,1.179600232860917,0.8
3,Famalicao,1.2536812076707329,1.225164549263806,0.9047619047619048
4,Gil Vicente,0.9503295839582921,1.1322749994027004,0.8
5,Guimaraes,1.1445083257565578,1.217789740893798,1.3125
6,Maritimo,0.7699518235420275,1.2315728711042244,0.8
7,Moreirense,1.0939408907655819,1.1935765148623818,1.5
8,Pacos Ferreira,1.1095823731931165,1.2569658239523331,1.3529411764705883
9,Portimonense,0.9041825505792146,1.1215229186305646,1.4285714285714286
10,Porto,1.8018231378033023,0.8007996314115119,1.1764705882352942
11,Rio Ave,0.8789925258727644,1.0897651910417565,0.9230769230769232
12,Santa Clara,1.2315680878859143,0.9857700559133922,1.4444444444444444
13,Sp Braga,1.4234065228753483,0.978481712176949,1.0384615384615385
14,Sp Lisbon,1.6261523817605714,0.8004919578040957,1.096774193548387
15,Tondela,1.0531732932545603,1.4283446170551968,1.0
16,Farense,0.9136981888059892,1.2369060155797773,1.5
17,Nacional,0.9251855141588474,1.5439539500983583,1.5
