,Team,LambdaAtt,LambdaDef,HomeFactor
0,Benfica,1.8544163415816701,0.8901284186250132,1.5
1,Boavista,0.8161431858033238,1.61786445576986,0.8
2,Famalicao,1.1249666270978034,1.1019405389819041,0.8333333333333333
3,Gil Vicente,0.8869315847050552,1.2134498950909767,1.125
4,Guimaraes,1.1406181839124443,1.0349444395543532,1.5
5,Porto,1.4990109441969652,0.9386207291648838,1.5
6,Sp Braga,1.5182272798830319,0.9437778537394124,1.5
7,Sp Lisbon,1.9137582174356988,0.8540425153544868,0.8333333333333333
8,Estoril,1.2647092895144705,1.3889449532410194,0.92
9,Arouca,1.0818726807597863,1.244480174145556,0.8421052631578947
10,Casa Pia,1.0948554060830022,1.2025050753404782,1.2941176470588236
11,Rio Ave,1.0169339366716725,1.3524189585781836,1.5
12,Estrela,0.6545789849648689,1.3140568312378407,1.5
13,Farense,0.8895249280583534,1.1911106573001704,0.8
14,Moreirense,1.047573353019657,1.2190709289382982,1.1
15,Nacional,0.9989958834883963,1.3161147868486736,1.5
16,Santa Clara,1.0395091326301662,0.9419134994152296,1.0
17,AVS,0.8377467878660043,1.525193785326934,1.0833333333333333
