Team,AvgScored,AvgAgainst,HomeFactor,Matches
AVS,0.7272727272727273,2.2727272727272725,0.8333333333333333,11
Alverca,1.0909090909090908,1.727272727272727,0.8,11
Arouca,1.1818181818181817,2.727272727272727,0.9722222222222223,11
Benfica,2.090909090909091,0.5454545454545454,1.2962962962962963,11
Casa Pia,1.1818181818181817,2.1818181818181817,1.0285714285714285,11
Estoril,1.727272727272727,1.5454545454545454,0.8,11
Estrela,1.1818181818181817,1.2727272727272725,0.9722222222222223,11
Famalicao,1.0,0.45454545454545453,1.0,11
Gil Vicente,1.4545454545454546,0.45454545454545453,0.9333333333333332,11
Guimaraes,0.9090909090909091,1.5454545454545454,1.5,11
Moreirense,1.4545454545454546,1.3636363636363635,1.5,11
Nacional,1.0,1.3636363636363635,1.0,11
Porto,2.1818181818181817,0.2727272727272727,0.8571428571428571,11
Rio Ave,1.2727272727272725,1.727272727272727,0.9,11
Santa Clara,0.8181818181818181,1.1818181818181817,1.5,11
Sp Braga,1.727272727272727,1.0,1.1458333333333333,11
Sp Lisbon,2.4545454545454546,0.5454545454545454,1.1142857142857143,11
Tondela,0.5454545454545454,1.818181818181818,0.8,11
