,Date,HomeTeam,AwayTeam,PredHomeGoals,PredAwayGoals,RealHomeGoals,RealAwayGoals,ErrorHomeGoals,ErrorAwayGoals
0,18/09/2020,Famalicao,Benfica,0,2,1,5,1,3
1,18/09/2020,Guimaraes,Belenenses,1,0,0,1,-1,1
2,19/09/2020,Nacional,Boavista,1,0,3,3,2,3
3,19/09/2020,Porto,Sp Braga,2,0,3,1,1,1
4,20/09/2020,Santa Clara,Maritimo,0,0,2,0,2,0
5,20/09/2020,Moreirense,Farense,1,1,2,0,1,-1
6,20/09/2020,Tondela,Rio Ave,0,1,1,1,1,0
7,21/09/2020,Portimonense,Pacos Ferreira,1,0,1,1,0,1
8,25/09/2020,Sp Braga,Santa Clara,1,0,0,1,-1,1
9,26/09/2020,Maritimo,Tondela,1,0,2,1,1,1
10,26/09/2020,Benfica,Moreirense,2,0,2,0,0,0
11,26/09/2020,Boavista,Porto,0,1,0,5,0,4
12,27/09/2020,Farense,Nacional,1,1,0,1,-1,0
13,27/09/2020,Gil Vicente,Portimonense,1,0,1,0,0,0
14,27/09/2020,Pacos Ferreira,Sp Lisbon,0,1,0,2,0,1
15,27/09/2020,Rio Ave,Guimaraes,1,1,0,0,-1,-1
16,28/09/2020,Belenenses,Famalicao,0,1,1,2,1,1
17,02/10/2020,Moreirense,Boavista,1,0,1,1,0,1
18,02/10/2020,Guimaraes,Pacos Ferreira,1,0,1,0,0,0
19,03/10/2020,Santa Clara,Gil Vicente,0,0,0,0,0,0
20,03/10/2020,Porto,Maritimo,3,0,2,3,-1,3
21,03/10/2020,Tondela,Sp Braga,0,1,0,4,0,3
22,04/10/2020,Nacional,Belenenses,1,0,0,0,-1,0
23,04/10/2020,Benfica,Farense,2,0,3,2,1,2
24,04/10/2020,Famalicao,Rio Ave,1,1,1,1,0,0
25,04/10/2020,Portimonense,Sp Lisbon,0,1,0,2,0,1
26,17/10/2020,Gil Vicente,Tondela,1,0,1,1,0,1
27,17/10/2020,Maritimo,Portimonense,1,0,1,2,0,2
