,Date,HomeTeam,AwayTeam,PredHomeGoals,PredAwayGoals,RealHomeGoals,RealAwayGoals,ErrorHomeGoals,ErrorAwayGoals
0,09/08/2024,Sp Lisbon,Rio Ave,3,0,3,1,0,1
1,10/08/2024,AVS,Nacional,1,1,1,1,0,0
2,10/08/2024,Casa Pia,Boavista,1,1,0,1,-1,0
3,10/08/2024,Porto,Gil Vicente,2,0,3,0,1,0
4,11/08/2024,Estoril,Santa Clara,1,1,1,4,0,3
5,11/08/2024,Famalicao,Benfica,1,2,2,0,1,-2
6,11/08/2024,Farense,Moreirense,1,1,1,2,0,1
7,11/08/2024,Sp Braga,Estrela,1,1,1,1,0,0
8,12/08/2024,Arouca,Guimaraes,1,1,0,1,-1,0
9,16/08/2024,Santa Clara,Porto,1,1,0,2,-1,1
10,16/08/2024,Gil Vicente,AVS,1,1,4,2,3,1
11,17/08/2024,Rio Ave,Farense,2,1,1,0,-1,-1
12,17/08/2024,Nacional,Sp Lisbon,1,2,1,6,0,4
13,17/08/2024,Benfica,Casa Pia,3,0,3,0,0,0
14,18/08/2024,Moreirense,Arouca,1,1,3,1,2,0
15,18/08/2024,Guimaraes,Estoril,2,1,1,0,-1,-1
16,18/08/2024,Boavista,Sp Braga,1,2,0,1,-1,-1
17,19/08/2024,Estrela,Famalicao,1,1,0,3,-1,2
18,23/08/2024,Farense,Sp Lisbon,1,2,0,5,-1,3
19,24/08/2024,Casa Pia,Santa Clara,0,1,0,2,0,1
20,24/08/2024,Porto,Rio Ave,2,0,2,0,0,0
21,24/08/2024,Benfica,Estrela,3,0,1,0,-2,0
22,24/08/2024,Famalicao,Boavista,2,1,1,0,-1,-1
23,25/08/2024,Arouca,Nacional,1,1,1,0,0,-1
24,25/08/2024,Estoril,Gil Vicente,1,1,0,0,-1,-1
25,25/08/2024,AVS,Guimaraes,1,1,1,0,0,-1
26,25/08/2024,Sp Braga,Moreirense,1,1,3,1,2,0
27,30/08/2024,Moreirense,Benfica,1,1,1,1,0,0
28,31/08/2024,Santa Clara,AVS,1,1,2,1,1,0
29,31/08/2024,Boavista,Estoril,1,1,0,0,-1,-1
30,31/08/2024,Estrela,Casa Pia,1,1,0,1,-1,0
31,31/08/2024,Sp Lisbon,Porto,2,1,2,0,0,-1
32,01/09/2024,Nacional,Farense,2,1,2,0,0,-1
33,01/09/2024,Rio Ave,Arouca,1,1,1,0,0,-1
34,01/09/2024,Gil Vicente,Sp Braga,1,2,0,0,-1,-2
35,01/09/2024,Guimaraes,Famalicao,1,1,2,1,1,0
36,13/09/2024,Arouca,Sp Lisbon,0,2,0,3,0,1
37,14/09/2024,Casa Pia,Moreirense,0,1,3,1,3,0
38,14/09/2024,AVS,Rio Ave,1,1,1,0,0,-1
39,14/09/2024,Benfica,Santa Clara,2,1,4,1,2,0
40,14/09/2024,Famalicao,Gil Vicente,1,1,1,1,0,0
41,15/09/2024,Porto,Farense,2,0,2,1,0,1
42,15/09/2024,Estoril,Nacional,1,1,1,0,0,-1
43,15/09/2024,Sp Braga,Guimaraes,1,1,0,2,-1,1
44,16/09/2024,Estrela,Boavista,1,1,2,2,1,1
45,20/09/2024,Nacional,Sp Braga,1,1,0,3,-1,2
46,21/09/2024,Rio Ave,Estoril,2,0,2,2,0,2
47,21/09/2024,Santa Clara,Estrela,2,1,1,0,-1,-1
48,21/09/2024,Guimaraes,Porto,1,1,0,3,-1,2
49,21/09/2024,Moreirense,Famalicao,1,1,0,0,-1,-1
50,22/09/2024,Gil Vicente,Casa Pia,2,1,1,1,-1,0
51,22/09/2024,Farense,Arouca,1,1,0,1,-1,0
52,22/09/2024,Sp Lisbon,AVS,3,0,3,0,0,0
53,23/09/2024,Boavista,Benfica,0,2,0,3,0,1
54,27/09/2024,Estoril,Sp Lisbon,0,2,0,3,0,1
55,28/09/2024,Estrela,Moreirense,1,1,2,1,1,0
56,28/09/2024,Casa Pia,Guimaraes,0,1,1,1,1,0
57,28/09/2024,Benfica,Gil Vicente,3,0,5,1,2,1
58,29/09/2024,Famalicao,Nacional,1,1,0,0,-1,-1
59,29/09/2024,Porto,Arouca,2,0,4,0,2,0
60,29/09/2024,Santa Clara,Boavista,2,1,1,0,-1,-1
61,29/09/2024,Sp Braga,Rio Ave,1,1,4,0,3,-1
62,30/09/2024,AVS,Farense,2,1,0,0,-2,-1
63,04/10/2024,Rio Ave,Famalicao,1,1,1,1,0,0
64,05/10/2024,Gil Vicente,Estrela,2,1,3,0,1,-1
65,05/10/2024,Moreirense,Santa Clara,1,1,1,0,0,-1
66,05/10/2024,Arouca,AVS,1,1,1,1,0,0
67,05/10/2024,Sp Lisbon,Casa Pia,4,0,2,0,-2,0
68,06/10/2024,Farense,Estoril,1,1,1,0,0,-1
69,06/10/2024,Guimaraes,Boavista,2,0,2,2,0,2
70,06/10/2024,Porto,Sp Braga,2,1,2,1,0,0
71,25/10/2024,Casa Pia,Nacional,1,1,1,0,0,-1
72,25/10/2024,Santa Clara,Gil Vicente,1,1,2,1,1,0
73,26/10/2024,Estoril,Arouca,1,1,4,1,3,0
74,26/10/2024,Boavista,Moreirense,1,1,0,2,-1,1
75,26/10/2024,Famalicao,Sp Lisbon,0,2,0,3,0,1
76,27/10/2024,Sp Braga,Farense,1,1,2,0,1,-1
77,27/10/2024,Benfica,Rio Ave,3,0,5,0,2,0
78,27/10/2024,Estrela,Guimaraes,1,1,2,2,1,1
79,28/10/2024,AVS,Porto,1,1,0,5,-1,4
80,01/11/2024,Sp Lisbon,Estrela,4,0,5,1,1,1
81,02/11/2024,Rio Ave,Casa Pia,1,1,2,2,1,1
82,02/11/2024,Farense,Benfica,0,2,1,2,1,0
83,02/11/2024,Gil Vicente,Boavista,2,1,1,2,-1,1
84,03/11/2024,AVS,Famalicao,1,1,2,3,1,2
85,03/11/2024,Arouca,Sp Braga,1,2,1,2,0,0
86,03/11/2024,Guimaraes,Moreirense,1,1,1,0,0,-1
87,03/11/2024,Porto,Estoril,3,0,4,0,1,0
88,04/11/2024,Nacional,Santa Clara,1,1,2,0,1,-1
89,08/11/2024,Moreirense,Gil Vicente,1,1,3,2,2,1
90,09/11/2024,Casa Pia,Farense,1,1,1,1,0,0
91,09/11/2024,Estoril,AVS,1,1,0,0,-1,-1
92,09/11/2024,Famalicao,Arouca,1,1,0,0,-1,-1
93,09/11/2024,Boavista,Rio Ave,1,1,0,2,-1,1
94,10/11/2024,Estrela,Nacional,1,1,2,0,1,-1
95,10/11/2024,Santa Clara,Guimaraes,1,1,1,0,0,-1
96,10/11/2024,Sp Braga,Sp Lisbon,1,2,2,4,1,2
97,10/11/2024,Benfica,Porto,2,1,4,1,2,0
98,29/11/2024,Farense,Estrela,1,1,1,0,0,-1
99,30/11/2024,Rio Ave,Moreirense,1,1,3,2,2,1
100,30/11/2024,Nacional,Boavista,1,1,0,0,-1,-1
101,30/11/2024,Sp Lisbon,Santa Clara,3,0,0,1,-3,1
102,01/12/2024,Estoril,Famalicao,1,1,2,1,1,0
103,01/12/2024,Arouca,Benfica,0,2,0,2,0,0
104,01/12/2024,AVS,Sp Braga,1,2,0,1,-1,-1
105,02/12/2024,Guimaraes,Gil Vicente,2,1,4,0,2,-1
106,02/12/2024,Porto,Casa Pia,2,0,2,0,0,0
107,05/12/2024,Moreirense,Sp Lisbon,1,2,2,1,1,-1
108,06/12/2024,Sp Braga,Estoril,1,1,2,2,1,1
109,07/12/2024,Gil Vicente,Nacional,1,1,2,1,1,0
110,07/12/2024,Benfica,Guimaraes,2,1,1,0,-1,-1
111,07/12/2024,Santa Clara,Rio Ave,1,1,1,0,0,-1
112,07/12/2024,Famalicao,Porto,1,1,1,1,0,0
113,08/12/2024,Boavista,Farense,1,1,1,1,0,0
114,08/12/2024,Casa Pia,AVS,1,1,1,1,0,0
115,09/12/2024,Estrela,Arouca,1,1,2,1,1,0
116,14/12/2024,Farense,Gil Vicente,1,1,0,1,-1,0
117,14/12/2024,Nacional,Moreirense,1,1,1,0,0,-1
118,14/12/2024,Sp Lisbon,Boavista,4,0,3,2,-1,2
119,15/12/2024,Arouca,Santa Clara,0,1,1,0,1,-1
120,15/12/2024,AVS,Benfica,1,2,1,1,0,-1
121,15/12/2024,Estoril,Casa Pia,1,1,0,2,-1,1
122,16/12/2024,Sp Braga,Famalicao,1,1,3,3,2,2
123,16/12/2024,Porto,Estrela,3,0,2,0,-1,0
