,Date,HomeTeam,AwayTeam,PredHomeGoals,PredAwayGoals,RealHomeGoals,RealAwayGoals,ErrorHomeGoals,ErrorAwayGoals
0,06/08/2021,Sp Lisbon,Vizela,2,1,3,0,1,-1
1,07/08/2021,Arouca,Estoril,1,1,0,2,-1,1
2,07/08/2021,Moreirense,Benfica,1,2,1,2,0,0
3,07/08/2021,Maritimo,Sp Braga,0,1,0,2,0,1
4,08/08/2021,Guimaraes,Portimonense,1,1,0,1,-1,0
5,08/08/2021,Tondela,Santa Clara,1,1,3,0,2,-1
6,08/08/2021,Porto,Belenenses,2,0,2,0,0,0
7,08/08/2021,Pacos Ferreira,Famalicao,1,1,2,0,1,-1
8,09/08/2021,Gil Vicente,Boavista,0,1,3,0,3,-1
9,13/08/2021,Estoril,Guimaraes,1,1,0,0,-1,-1
10,14/08/2021,Vizela,Tondela,1,1,2,1,1,0
11,14/08/2021,Benfica,Arouca,1,0,2,0,1,0
12,14/08/2021,Sp Braga,Sp Lisbon,1,1,1,2,0,1
13,15/08/2021,Portimonense,Gil Vicente,1,1,0,1,-1,0
14,15/08/2021,Famalicao,Porto,0,2,1,2,1,0
15,15/08/2021,Santa Clara,Moreirense,2,1,2,2,0,1
16,16/08/2021,Boavista,Pacos Ferreira,1,1,3,0,2,-1
17,16/08/2021,Belenenses,Maritimo,1,0,1,2,0,2
18,20/08/2021,Arouca,Famalicao,1,1,2,1,1,0
19,20/08/2021,Moreirense,Sp Braga,1,1,2,3,1,2
20,21/08/2021,Gil Vicente,Benfica,0,2,0,2,0,0
21,21/08/2021,Sp Lisbon,Belenenses,2,0,2,0,0,0
22,22/08/2021,Tondela,Portimonense,1,1,0,3,-1,2
23,22/08/2021,Maritimo,Porto,0,2,1,1,1,-1
24,22/08/2021,Guimaraes,Vizela,1,1,4,0,3,-1
25,23/08/2021,Pacos Ferreira,Estoril,1,1,1,3,0,2
26,23/08/2021,Boavista,Santa Clara,0,1,2,0,2,-1
27,27/08/2021,Belenenses,Moreirense,1,1,1,1,0,0
28,27/08/2021,Estoril,Maritimo,1,0,2,1,1,1
29,28/08/2021,Vizela,Boavista,1,1,1,1,0,0
30,28/08/2021,Porto,Arouca,2,1,3,0,1,-1
31,28/08/2021,Famalicao,Sp Lisbon,0,2,1,1,1,-1
32,29/08/2021,Benfica,Tondela,2,0,2,1,0,1
33,29/08/2021,Sp Braga,Guimaraes,1,1,0,0,-1,-1
34,29/08/2021,Portimonense,Pacos Ferreira,1,1,0,1,-1,0
35,29/08/2021,Santa Clara,Gil Vicente,1,1,1,0,0,-1
36,11/09/2021,Pacos Ferreira,Sp Braga,1,1,0,0,-1,-1
37,11/09/2021,Santa Clara,Benfica,1,2,0,5,-1,3
38,11/09/2021,Sp Lisbon,Porto,1,1,1,1,0,0
39,12/09/2021,Moreirense,Famalicao,2,1,2,2,0,1
40,12/09/2021,Boavista,Portimonense,0,1,1,1,1,0
41,12/09/2021,Gil Vicente,Vizela,1,1,2,2,1,1
42,12/09/2021,Guimaraes,Belenenses,1,1,0,0,-1,-1
43,13/09/2021,Maritimo,Arouca,0,1,2,2,2,1
44,13/09/2021,Tondela,Estoril,1,2,1,2,0,0
45,17/09/2021,Portimonense,Santa Clara,1,1,2,1,1,0
46,18/09/2021,Famalicao,Maritimo,1,1,0,0,-1,-1
47,18/09/2021,Belenenses,Gil Vicente,1,1,1,1,0,0
48,18/09/2021,Arouca,Guimaraes,1,1,2,2,1,1
49,19/09/2021,Vizela,Pacos Ferreira,1,1,1,1,0,0
50,19/09/2021,Porto,Moreirense,2,0,5,0,3,0
51,19/09/2021,Estoril,Sp Lisbon,1,1,0,1,-1,0
52,20/09/2021,Benfica,Boavista,1,0,3,1,2,1
53,20/09/2021,Sp Braga,Tondela,2,1,3,1,1,0
54,24/09/2021,Sp Lisbon,Maritimo,2,0,1,0,-1,0
55,24/09/2021,Gil Vicente,Porto,0,2,1,2,1,0
56,25/09/2021,Moreirense,Arouca,2,1,2,1,0,0
57,25/09/2021,Guimaraes,Benfica,1,2,1,3,0,1
58,25/09/2021,Tondela,Famalicao,1,1,3,2,2,1
59,26/09/2021,Santa Clara,Sp Braga,1,1,1,1,0,0
60,26/09/2021,Portimonense,Vizela,1,1,0,0,-1,-1
61,27/09/2021,Pacos Ferreira,Belenenses,1,1,2,2,1,1
62,27/09/2021,Boavista,Estoril,0,1,1,1,1,0
63,01/10/2021,Maritimo,Moreirense,0,1,0,0,0,-1
64,01/10/2021,Famalicao,Guimaraes,1,1,1,2,0,1
65,02/10/2021,Vizela,Santa Clara,1,1,1,1,0,0
66,02/10/2021,Porto,Pacos Ferreira,2,0,2,1,0,1
67,02/10/2021,Arouca,Sp Lisbon,1,2,1,2,0,0
68,03/10/2021,Belenenses,Tondela,2,1,0,2,-2,1
69,03/10/2021,Benfica,Portimonense,1,0,0,1,-1,1
70,03/10/2021,Estoril,Gil Vicente,1,1,2,2,1,1
71,03/10/2021,Sp Braga,Boavista,1,1,2,2,1,1
72,22/10/2021,Guimaraes,Maritimo,1,0,2,1,1,1
73,23/10/2021,Santa Clara,Famalicao,2,1,0,2,-2,1
74,23/10/2021,Tondela,Porto,1,2,1,3,0,1
75,23/10/2021,Sp Lisbon,Moreirense,2,0,1,0,-1,0
76,24/10/2021,Pacos Ferreira,Arouca,2,1,0,0,-2,-1
77,24/10/2021,Vizela,Benfica,1,2,0,1,-1,-1
78,24/10/2021,Portimonense,Estoril,1,1,0,2,-1,1
79,25/10/2021,Gil Vicente,Sp Braga,0,1,0,1,0,0
80,25/10/2021,Boavista,Belenenses,1,1,0,0,-1,-1
81,29/10/2021,Arouca,Tondela,2,1,2,0,0,-1
82,30/10/2021,Porto,Boavista,2,0,4,1,2,1
83,30/10/2021,Estoril,Benfica,1,2,1,1,0,-1
84,30/10/2021,Sp Lisbon,Guimaraes,2,0,1,0,-1,0
85,31/10/2021,Maritimo,Gil Vicente,0,1,1,2,1,1
86,31/10/2021,Belenenses,Santa Clara,1,1,2,1,1,0
87,31/10/2021,Famalicao,Vizela,1,1,1,1,0,0
88,01/11/2021,Sp Braga,Portimonense,1,0,3,0,2,0
89,01/11/2021,Moreirense,Pacos Ferreira,2,1,1,1,-1,0
90,05/11/2021,Gil Vicente,Arouca,1,1,1,1,0,0
91,05/11/2021,Boavista,Famalicao,1,1,2,5,1,4
92,06/11/2021,Vizela,Estoril,1,1,1,1,0,0
93,06/11/2021,Portimonense,Belenenses,1,0,2,0,1,0
94,06/11/2021,Guimaraes,Moreirense,2,1,2,1,0,0
95,07/11/2021,Tondela,Maritimo,1,1,4,2,3,1
96,07/11/2021,Santa Clara,Porto,1,2,0,3,-1,1
97,07/11/2021,Pacos Ferreira,Sp Lisbon,1,1,0,2,-1,1
98,07/11/2021,Benfica,Sp Braga,1,1,6,1,5,0
99,26/11/2021,Moreirense,Gil Vicente,1,1,2,2,1,1
100,27/11/2021,Famalicao,Portimonense,1,1,0,3,-1,2
101,27/11/2021,Arouca,Boavista,1,1,2,1,1,0
102,27/11/2021,Belenenses,Benfica,0,2,0,7,0,5
103,28/11/2021,Maritimo,Pacos Ferreira,0,1,2,0,2,-1
104,28/11/2021,Sp Lisbon,Tondela,2,0,2,0,0,0
105,28/11/2021,Porto,Guimaraes,2,0,2,1,0,1
106,29/11/2021,Estoril,Santa Clara,1,1,2,2,1,1
107,30/11/2021,Sp Braga,Vizela,1,1,4,1,3,0
108,03/12/2021,Portimonense,Porto,1,2,0,3,-1,1
109,03/12/2021,Benfica,Sp Lisbon,1,1,1,3,0,2
110,04/12/2021,Boavista,Maritimo,1,1,1,1,0,0
111,04/12/2021,Pacos Ferreira,Guimaraes,1,1,1,2,0,1
112,05/12/2021,Santa Clara,Arouca,1,1,2,1,1,0
113,05/12/2021,Gil Vicente,Famalicao,1,1,4,0,3,-1
114,05/12/2021,Sp Braga,Estoril,1,1,2,0,1,-1
115,10/12/2021,Pacos Ferreira,Gil Vicente,1,1,0,1,-1,0
116,11/12/2021,Maritimo,Santa Clara,1,1,4,1,3,0
117,11/12/2021,Guimaraes,Tondela,2,1,5,2,3,1
118,11/12/2021,Sp Lisbon,Boavista,2,0,2,0,0,0
119,12/12/2021,Belenenses,Estoril,1,1,0,1,-1,0
120,12/12/2021,Moreirense,Portimonense,1,1,0,1,-1,0
121,12/12/2021,Famalicao,Benfica,1,3,1,4,0,1
122,12/12/2021,Porto,Sp Braga,2,1,1,0,-1,-1
123,13/12/2021,Arouca,Vizela,1,1,1,4,0,3
124,17/12/2021,Santa Clara,Guimaraes,1,1,1,0,0,-1
125,17/12/2021,Estoril,Famalicao,2,1,2,2,0,1
126,18/12/2021,Portimonense,Arouca,1,1,1,1,0,0
127,18/12/2021,Tondela,Pacos Ferreira,1,1,0,1,-1,0
128,18/12/2021,Gil Vicente,Sp Lisbon,0,1,0,3,0,2
129,19/12/2021,Benfica,Maritimo,2,0,7,1,5,1
130,19/12/2021,Boavista,Moreirense,1,1,1,0,0,-1
131,19/12/2021,Vizela,Porto,1,2,0,4,-1,2
132,19/12/2021,Sp Braga,Belenenses,2,0,1,0,-1,0
133,28/12/2021,Tondela,Gil Vicente,1,1,0,3,-1,2
134,28/12/2021,Maritimo,Vizela,1,1,2,0,1,-1
135,28/12/2021,Moreirense,Estoril,1,1,1,0,0,-1
136,29/12/2021,Guimaraes,Boavista,2,1,1,1,-1,0
137,29/12/2021,Sp Lisbon,Portimonense,1,0,3,2,2,2
138,30/12/2021,Pacos Ferreira,Santa Clara,1,1,2,1,1,0
139,30/12/2021,Arouca,Sp Braga,1,2,0,6,-1,4
140,30/12/2021,Porto,Benfica,2,1,3,1,1,0
141,02/01/2022,Vizela,Belenenses,1,1,2,0,1,-1
142,03/01/2022,Tondela,Moreirense,1,1,2,1,1,0
143,07/01/2022,Santa Clara,Sp Lisbon,1,2,3,2,2,0
144,08/01/2022,Vizela,Moreirense,1,1,0,1,-1,0
145,08/01/2022,Estoril,Porto,1,2,2,3,1,1
146,08/01/2022,Boavista,Tondela,1,1,1,1,0,0
147,09/01/2022,Portimonense,Maritimo,1,1,1,2,0,1
148,09/01/2022,Benfica,Pacos Ferreira,2,0,2,0,0,0
149,09/01/2022,Sp Braga,Famalicao,2,1,2,2,0,1
150,09/01/2022,Belenenses,Arouca,1,1,2,1,1,0
151,10/01/2022,Gil Vicente,Guimaraes,1,1,3,2,2,1
152,13/01/2022,Famalicao,Belenenses,1,1,1,0,0,-1
153,15/01/2022,Boavista,Gil Vicente,1,1,1,1,0,0
154,15/01/2022,Benfica,Moreirense,2,0,1,1,-1,1
155,15/01/2022,Sp Braga,Maritimo,2,1,0,1,-2,0
156,16/01/2022,Santa Clara,Tondela,2,1,2,2,0,1
157,16/01/2022,Vizela,Sp Lisbon,0,2,0,2,0,0
158,16/01/2022,Famalicao,Pacos Ferreira,1,1,0,0,-1,-1
159,16/01/2022,Belenenses,Porto,0,2,1,4,1,2
160,17/01/2022,Portimonense,Guimaraes,1,1,1,1,0,0
161,21/01/2022,Arouca,Benfica,1,3,0,2,-1,-1
162,21/01/2022,Pacos Ferreira,Boavista,1,1,1,1,0,0
