,Team,LambdaAtt,LambdaDef,HomeFactor
0,Benfica,1.7173792099617462,0.8350657646467934,1.2962962962962963
1,Famalicao,1.098160623118085,0.909532016451291,1.0
2,Gil Vicente,1.049117437061069,0.9873587011151093,0.9333333333333332
3,Guimaraes,1.0090047753374403,1.1319610365862052,1.5
4,Porto,1.557884373582943,0.7640840882406358,0.8571428571428571
5,Sp Braga,1.4384546359788002,0.9563988111968637,1.1458333333333333
6,Sp Lisbon,1.9624748412454611,0.7752125090509662,1.1142857142857143
7,Estoril,1.385385975403969,1.3999557234314706,0.8
8,Arouca,1.1151897494082144,1.613474499928706,0.9722222222222223
9,Casa Pia,1.0897046923397335,1.4316836786138714,1.0285714285714285
10,Rio Ave,1.021774544521416,1.3941895036321923,0.9
11,Estrela,0.8128175546967481,1.307762794593268,0.9722222222222223
12,Moreirense,1.1337030229231884,1.222652043704412,1.5
13,Nacional,0.9653631928962751,1.2386621454932163,1.0
14,Santa Clara,0.9672667184620773,0.9887047436880978,1.5
15,AVS,0.802298356642789,1.7034433976393455,0.8333333333333333
16,Alverca,1.1149946735969234,1.2896139868109344,0.8
17,Tondela,0.9654385398300438,1.303857136113828,0.8
