,Date,HomeTeam,AwayTeam,PredHomeGoals,PredAwayGoals,RealHomeGoals,RealAwayGoals,ErrorHomeGoals,ErrorAwayGoals
0,05/08/2022,Benfica,Arouca,2,0,4,0,2,0
1,06/08/2022,Rio Ave,Vizela,2,1,0,1,-2,0
2,06/08/2022,Estoril,Famalicao,1,1,2,0,1,-1
3,06/08/2022,Porto,Maritimo,3,0,5,1,2,1
4,07/08/2022,Santa Clara,Casa Pia,1,1,0,0,-1,-1
5,07/08/2022,Sp Braga,Sp Lisbon,1,1,3,3,2,2
6,07/08/2022,Chaves,Guimaraes,1,1,0,1,-1,0
7,07/08/2022,Portimonense,Boavista,1,1,0,1,-1,0
8,08/08/2022,Gil Vicente,Pacos Ferreira,1,1,1,0,0,-1
9,12/08/2022,Famalicao,Sp Braga,1,1,0,3,-1,2
10,13/08/2022,Casa Pia,Benfica,1,2,0,1,-1,-1
11,13/08/2022,Sp Lisbon,Rio Ave,1,1,3,0,2,-1
12,14/08/2022,Boavista,Santa Clara,1,1,2,1,1,0
13,14/08/2022,Vizela,Porto,0,2,0,1,0,-1
14,14/08/2022,Guimaraes,Estoril,2,1,1,0,-1,-1
15,15/08/2022,Maritimo,Chaves,1,1,1,2,0,1
16,15/08/2022,Arouca,Gil Vicente,1,1,1,0,0,-1
17,15/08/2022,Pacos Ferreira,Portimonense,1,1,0,3,-1,2
18,19/08/2022,Estoril,Rio Ave,1,1,2,2,1,1
19,20/08/2022,Santa Clara,Arouca,2,1,1,2,-1,1
20,20/08/2022,Chaves,Vizela,1,1,1,1,0,0
21,20/08/2022,Porto,Sp Lisbon,2,1,3,0,1,-1
22,21/08/2022,Casa Pia,Boavista,1,1,2,0,1,-1
23,21/08/2022,Sp Braga,Maritimo,2,0,5,0,3,0
24,21/08/2022,Portimonense,Guimaraes,0,1,2,1,2,0
25,22/08/2022,Gil Vicente,Famalicao,1,1,0,0,-1,-1
26,26/08/2022,Pacos Ferreira,Estoril,1,1,0,3,-1,2
27,27/08/2022,Maritimo,Portimonense,1,1,0,1,-1,0
28,27/08/2022,Boavista,Benfica,0,2,0,3,0,1
29,27/08/2022,Sp Lisbon,Chaves,1,1,0,2,-1,1
30,28/08/2022,Famalicao,Santa Clara,1,1,1,0,0,-1
31,28/08/2022,Arouca,Sp Braga,0,2,0,6,0,4
32,28/08/2022,Rio Ave,Porto,1,2,3,1,2,-1
33,29/08/2022,Guimaraes,Casa Pia,2,1,0,1,-2,0
34,29/08/2022,Vizela,Gil Vicente,1,1,2,2,1,1
35,30/08/2022,Benfica,Pacos Ferreira,2,0,3,2,1,2
36,02/09/2022,Benfica,Vizela,2,0,2,1,0,1
37,02/09/2022,Estoril,Sp Lisbon,1,2,0,2,-1,0
38,03/09/2022,Sp Braga,Guimaraes,2,1,1,0,-1,-1
39,03/09/2022,Gil Vicente,Porto,1,2,0,2,-1,0
40,04/09/2022,Casa Pia,Arouca,2,0,0,0,-2,0
41,04/09/2022,Santa Clara,Maritimo,2,1,2,1,0,0
42,04/09/2022,Portimonense,Famalicao,1,1,1,0,0,-1
43,05/09/2022,Boavista,Pacos Ferreira,1,1,1,0,0,-1
44,05/09/2022,Chaves,Rio Ave,1,1,1,1,0,0
45,09/09/2022,Guimaraes,Santa Clara,2,1,1,0,-1,-1
46,10/09/2022,Famalicao,Benfica,1,2,0,1,-1,-1
47,10/09/2022,Sp Lisbon,Portimonense,1,0,4,0,3,0
48,10/09/2022,Porto,Chaves,3,0,3,0,0,0
49,11/09/2022,Pacos Ferreira,Casa Pia,1,1,2,3,1,2
50,11/09/2022,Arouca,Boavista,1,1,1,2,0,1
51,11/09/2022,Maritimo,Gil Vicente,1,1,1,2,0,1
52,11/09/2022,Rio Ave,Sp Braga,1,2,2,3,1,1
53,12/09/2022,Vizela,Estoril,1,1,0,1,-1,0
54,16/09/2022,Portimonense,Chaves,0,1,1,0,1,-1
55,17/09/2022,Gil Vicente,Rio Ave,1,1,2,2,1,1
56,17/09/2022,Santa Clara,Pacos Ferreira,2,1,1,1,-1,0
57,17/09/2022,Estoril,Porto,1,2,1,1,0,-1
58,17/09/2022,Boavista,Sp Lisbon,1,2,2,1,1,-1
59,18/09/2022,Arouca,Guimaraes,1,1,2,2,1,1
60,18/09/2022,Benfica,Maritimo,2,0,5,0,3,0
61,18/09/2022,Casa Pia,Famalicao,1,1,1,0,0,-1
62,18/09/2022,Sp Braga,Vizela,2,1,2,0,0,-1
63,30/09/2022,Sp Lisbon,Gil Vicente,2,1,3,1,1,0
64,30/09/2022,Porto,Sp Braga,2,1,4,1,2,0
65,01/10/2022,Vizela,Portimonense,1,1,1,0,0,-1
66,01/10/2022,Chaves,Estoril,1,1,1,1,0,0
67,01/10/2022,Guimaraes,Benfica,1,2,0,0,-1,-2
68,02/10/2022,Rio Ave,Santa Clara,1,1,1,0,0,-1
69,02/10/2022,Pacos Ferreira,Arouca,1,1,1,1,0,0
70,02/10/2022,Famalicao,Boavista,1,1,4,0,3,-1
71,03/10/2022,Maritimo,Casa Pia,0,1,1,2,1,1
72,07/10/2022,Gil Vicente,Estoril,1,1,0,1,-1,0
73,08/10/2022,Santa Clara,Sp Lisbon,1,2,1,2,0,0
74,08/10/2022,Benfica,Rio Ave,2,1,4,2,2,1
75,08/10/2022,Portimonense,Porto,0,2,0,2,0,0
76,08/10/2022,Pacos Ferreira,Guimaraes,1,1,0,1,-1,0
77,09/10/2022,Boavista,Maritimo,1,1,1,1,0,0
78,09/10/2022,Casa Pia,Vizela,1,1,0,1,-1,0
