Team,AvgScored,AvgAgainst,HomeFactor,Matches
Aves,0.7058823529411765,2.0,1.0,34
Belenenses,0.7941176470588235,1.5882352941176472,0.9285714285714286,34
Benfica,2.088235294117647,0.7647058823529411,1.1515151515151516,34
Boavista,0.8235294117647058,1.1470588235294117,1.153846153846154,34
Famalicao,1.5588235294117647,1.5,1.1199999999999999,34
Gil Vicente,1.176470588235294,1.2941176470588236,1.5,34
Guimaraes,1.5588235294117645,1.1176470588235294,1.0384615384615385,34
Maritimo,1.0,1.2352941176470589,1.5,34
Moreirense,1.2352941176470589,1.2941176470588236,1.2105263157894737,34
Pacos Ferreira,1.0588235294117647,1.5294117647058822,0.8,34
Portimonense,0.8823529411764706,1.3235294117647058,1.5,34
Porto,2.1764705882352944,0.6470588235294117,1.4666666666666668,34
Rio Ave,1.4117647058823528,1.0588235294117647,1.2857142857142856,34
Santa Clara,1.0588235294117647,1.2058823529411766,1.0,34
Setubal,0.7941176470588236,1.2647058823529411,1.2499999999999998,34
Sp Braga,1.7941176470588234,1.1764705882352942,1.103448275862069,34
Sp Lisbon,1.4411764705882355,1.0,1.0416666666666667,34
Tondela,0.8823529411764706,1.2941176470588236,0.8,34
