,Team,LambdaAtt,LambdaDef,HomeFactor
0,Benfica,2.044826812313195,0.795620476777758,1.411764705882353
1,Boavista,1.2327569055844783,1.4882677453361526,1.1500000000000001
2,Famalicao,1.2518198979533601,1.332074093208905,1.1666666666666667
3,Gil Vicente,1.003069678194774,1.1324254634650326,0.8823529411764706
4,Guimaraes,0.9545145129598551,1.1394921448593387,1.125
5,Maritimo,0.9869151306653556,1.582195958886174,1.5
6,Pacos Ferreira,0.803292929293093,1.5845780480180176,1.0
7,Portimonense,0.7757005587859525,1.384781318454738,1.2727272727272727
8,Porto,1.736390513290214,0.8101118141202864,1.5
9,Santa Clara,0.7950034228759617,1.6293308384704641,1.5
10,Sp Braga,1.6745144487559904,0.9380636213085447,1.142857142857143
11,Sp Lisbon,1.8748216623675003,0.92161060433642,1.4482758620689655
12,Vizela,1.0158049346980604,1.2449637057400138,1.125
13,Estoril,0.9239558599650218,1.3684237369742303,1.5
14,Arouca,0.9671361508813039,1.0319683502294499,1.5
15,Casa Pia,0.9748556386753291,1.206132994527208,1.3846153846153848
16,Rio Ave,1.0519308210185985,1.2058316937251727,1.0
17,Chaves,1.069467216368138,1.1212468827171573,1.3333333333333335
