,Team,LambdaAtt,LambdaDef,HomeFactor
0,Belenenses,0.7271850359431065,1.354518734221728,1.5
1,Benfica,1.9066305504324874,0.8403437905964681,0.8571428571428571
2,Boavista,1.126658886978869,1.333139000913562,1.0526315789473684
3,Famalicao,1.3238150949451508,1.2649647424284107,0.9565217391304348
4,Gil Vicente,1.1969302195793914,1.2005136518998407,1.1363636363636365
5,Guimaraes,1.2479881162245543,1.127857092318798,1.5
6,Maritimo,1.0120601561508837,1.1738304325912685,0.95
7,Moreirense,0.8918898900992076,1.3063342139783396,1.5
8,Pacos Ferreira,0.862268648572004,1.2340006308961766,1.5
9,Portimonense,0.8034992445021296,1.2504653041138405,0.9375
10,Porto,1.9929519505927522,0.7295490049483055,1.388888888888889
11,Santa Clara,1.0533577091303299,1.2320554015269038,1.5
12,Sp Braga,1.3499425824107303,0.8929265671317475,1.0799999999999998
13,Sp Lisbon,1.821542995874317,0.8316854508037455,0.8717948717948718
14,Tondela,1.0980131256588739,1.6582202608124952,1.411764705882353
15,Vizela,1.105301394969108,1.4180011762526898,0.8
16,Estoril,0.9960763119357761,1.1955016247002979,1.4000000000000001
17,Arouca,0.9314322905312209,1.2794041723721703,1.0
