,Date,HomeTeam,AwayTeam,PredHomeGoals,PredAwayGoals,RealHomeGoals,RealAwayGoals,ErrorHomeGoals,ErrorAwayGoals
0,11/08/2023,Sp Braga,Famalicao,2,1,1,2,-1,1
1,12/08/2023,Gil Vicente,Portimonense,1,0,5,0,4,0
2,12/08/2023,Farense,Casa Pia,2,1,0,3,-2,2
3,12/08/2023,Sp Lisbon,Vizela,3,1,3,2,0,1
4,13/08/2023,Rio Ave,Chaves,1,1,2,0,1,-1
5,13/08/2023,Estrela,Guimaraes,1,1,0,1,-1,0
6,13/08/2023,Arouca,Estoril,2,1,4,3,2,2
7,14/08/2023,Moreirense,Porto,1,2,1,2,0,0
8,14/08/2023,Boavista,Benfica,1,3,3,2,2,-1
9,18/08/2023,Casa Pia,Sp Lisbon,1,2,1,2,0,0
10,19/08/2023,Guimaraes,Gil Vicente,1,1,2,1,1,0
11,19/08/2023,Chaves,Sp Braga,1,2,2,4,1,2
12,19/08/2023,Benfica,Estrela,3,1,2,0,-1,-1
13,19/08/2023,Portimonense,Boavista,1,2,1,4,0,2
14,20/08/2023,Estoril,Rio Ave,1,1,2,0,1,-1
15,20/08/2023,Porto,Farense,3,1,2,1,-1,0
16,20/08/2023,Vizela,Arouca,1,1,2,2,1,1
17,21/08/2023,Famalicao,Moreirense,1,1,0,0,-1,-1
18,25/08/2023,Estrela,Estoril,2,1,2,1,0,0
19,26/08/2023,Arouca,Portimonense,2,0,1,1,-1,1
20,26/08/2023,Farense,Chaves,1,1,5,0,4,-1
21,26/08/2023,Gil Vicente,Benfica,0,2,2,3,2,1
22,27/08/2023,Boavista,Casa Pia,1,1,1,1,0,0
23,27/08/2023,Guimaraes,Vizela,1,1,2,0,1,-1
24,27/08/2023,Sp Lisbon,Famalicao,3,1,1,0,-2,-1
25,28/08/2023,Rio Ave,Porto,0,2,1,2,1,0
26,01/09/2023,Vizela,Gil Vicente,1,1,1,0,0,-1
27,02/09/2023,Casa Pia,Rio Ave,1,1,1,1,0,0
28,02/09/2023,Famalicao,Farense,1,1,1,0,0,-1
29,02/09/2023,Portimonense,Estrela,1,1,1,1,0,0
30,02/09/2023,Benfica,Guimaraes,3,0,4,0,1,0
31,03/09/2023,Chaves,Moreirense,1,1,1,2,0,1
32,03/09/2023,Estoril,Boavista,2,1,1,2,-1,1
33,03/09/2023,Porto,Arouca,3,0,1,1,-2,1
